gate,pass
diagnostic_selected_UPPER_DRIVES_LOWER,True
2316_nodes_have_coordinates,True
2112_heavy_coordinates_are_unchanged,True
exactly_12_lower_inner_H_coordinates_were_modified,True
remaining_192_H_coordinates_are_unchanged,True
102_BH_and_102_NH_bonds_are_present,True
all_XH_bonds_are_within_0p002nm,True
all_H_angles_are_within70to175deg,True
no_global_H_heavy_clashes,True
no_global_H_H_clashes,True
lower_upper_inner_H_aperture_asymmetry_is_at_most0p010nm,True
inner_H_aperture_is_recorded_as_geometric_proxy_only,True
no_topology_charges_parameterization_minimization_MD_or_QM,True
