angle_term_id,atom_type_1,center_type,atom_type_3,count,minimum_deg,mean_deg,maximum_deg,example_node_1,example_center,example_node_3,coverage_status
ANGLE_0001,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,30,106.98138966014777,121.38598516067569,133.85044837538314,BR4:LOWER:00:1,BR4:LOWER:00:2,BR4:LOWER:00:3,UNASSESSED
ANGLE_0002,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,B|ANNULUS_OUTER_BOUNDARY,15,108.04781685333539,119.10303533335926,134.95659007928538,A:LOWER:13:-5,BR4:LOWER:00:4,BR4:LOWER:00:3,UNASSESSED
ANGLE_0003,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,B|HEXAGONAL_EDGE_COMPLETION_SEED,15,105.93850594233254,120.08511355050959,132.4032729132168,BR4:UPPER:00:2,BR4:UPPER:00:1,S:1710,UNASSESSED
ANGLE_0004,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,H|BRIDGE_PASSIVANT_H,90,71.05350621749757,118.38818955408259,160.86135273333693,BR4:LOWER:00:1,BR4:LOWER:00:2,H4:LOWER:0055:0,UNASSESSED
ANGLE_0005,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ANNULUS_OUTER_BOUNDARY,B|ANNULUS_INTERIOR,24,91.63449401137622,124.74080565707682,167.8611550858931,A:UPPER:-13:-1,A:UPPER:-14:-2,BR4:UPPER:07:4,UNASSESSED
ANGLE_0006,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ANNULUS_OUTER_BOUNDARY,B|ANNULUS_OUTER_BOUNDARY,6,70.93895210895009,73.2859432993978,75.18801818871795,A:UPPER:-13:-5,A:UPPER:-14:-4,BR4:UPPER:06:4,UNASSESSED
ANGLE_0007,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|HEXAGONAL_EDGE_COMPLETION_SEED,B|PARENT_HBN,30,75.00564746894828,107.96345289024572,149.21561929724763,BR4:LOWER:00:1,S:1680,P:46,UNASSESSED
ANGLE_0008,B|ANNULUS_INNER_BOUNDARY,N|ANNULUS_INTERIOR,B|ANNULUS_INNER_BOUNDARY,6,119.99999999999994,120.00000000000013,120.00000000000037,A:LOWER:-2:-4,A:LOWER:-4:-4,A:LOWER:-5:-3,UNASSESSED
ANGLE_0009,B|ANNULUS_INNER_BOUNDARY,N|ANNULUS_INTERIOR,B|ANNULUS_INTERIOR,36,119.99999999999969,119.99999999999997,120.00000000000037,A:LOWER:-2:-4,A:LOWER:-1:-5,A:LOWER:-2:-6,UNASSESSED
ANGLE_0010,B|ANNULUS_INTERIOR,N|ANNULUS_INNER_BOUNDARY,B|ANNULUS_INTERIOR,12,119.99999999999956,119.99999999999996,120.0000000000002,A:LOWER:-8:-2,A:LOWER:-7:-1,A:LOWER:-8:0,UNASSESSED
ANGLE_0011,B|ANNULUS_INTERIOR,N|ANNULUS_INNER_BOUNDARY,H|ANNULUS_INNER_PASSIVANT_H,24,74.77203927741905,86.99402865529142,100.3708323562904,A:LOWER:-8:-2,A:LOWER:-7:-1,H4:LOWER:0012:0,UNASSESSED
ANGLE_0012,B|ANNULUS_INTERIOR,N|ANNULUS_INTERIOR,B|ANNULUS_INTERIOR,138,119.99999999999918,120.0,120.00000000000043,A:LOWER:-11:-1,A:LOWER:-10:-2,A:LOWER:-11:-3,UNASSESSED
ANGLE_0013,B|ANNULUS_INTERIOR,N|ANNULUS_INTERIOR,B|ANNULUS_OUTER_BOUNDARY,48,119.99999999999949,120.00000000000001,120.00000000000037,A:LOWER:-11:-1,A:LOWER:-13:-1,A:LOWER:-14:-2,UNASSESSED
ANGLE_0014,B|ANNULUS_INTERIOR,N|ANNULUS_OUTER_BOUNDARY,B|ANNULUS_INTERIOR,18,119.99999999999969,120.0,120.00000000000043,A:LOWER:-11:-5,A:LOWER:-10:-6,A:LOWER:-8:-6,UNASSESSED
