torsion_term_id,atom_type_1,atom_type_2,atom_type_3,atom_type_4,count,minimum_deg,mean_deg,maximum_deg,example_node_1,example_node_2,example_node_3,example_node_4,coverage_status
TORSION_0001,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,H|BRIDGE_PASSIVANT_H,60,-179.70538698707924,-0.9856104456335812,174.33923098205173,H4:LOWER:0054:0,BR4:LOWER:00:1,BR4:LOWER:00:2,BR4:LOWER:00:3,UNASSESSED
TORSION_0002,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,30,-157.8896212028285,7.899111641067592,157.89109355337078,BR4:LOWER:00:1,BR4:LOWER:00:2,BR4:LOWER:00:3,BR4:LOWER:00:4,UNASSESSED
TORSION_0003,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ANNULUS_OUTER_BOUNDARY,15,-106.99095482353913,-6.036927469805231,86.99128535953749,BR4:UPPER:00:2,BR4:UPPER:00:3,BR4:UPPER:00:4,A:UPPER:13:5,UNASSESSED
TORSION_0004,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|HEXAGONAL_EDGE_COMPLETION_SEED,15,-135.52824733433354,-15.59680392923687,134.90332551281656,S:1680,BR4:LOWER:00:1,BR4:LOWER:00:2,BR4:LOWER:00:3,UNASSESSED
TORSION_0005,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,B|ANNULUS_OUTER_BOUNDARY,N|ANNULUS_INTERIOR,24,-168.79468383660182,-0.13340314151273702,177.20538795951694,A:LOWER:-13:-1,A:LOWER:-14:-2,BR4:LOWER:06:4,BR4:LOWER:06:3,UNASSESSED
TORSION_0006,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,B|ANNULUS_OUTER_BOUNDARY,N|ANNULUS_OUTER_BOUNDARY,6,-39.657506410427665,-13.387295615629903,39.62786677482951,A:LOWER:-13:-5,A:LOWER:-14:-4,BR4:LOWER:05:4,BR4:LOWER:05:3,UNASSESSED
TORSION_0007,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,B|HEXAGONAL_EDGE_COMPLETION_SEED,N|PARENT_HBN,30,-162.1354053928589,-5.47597640414872,169.98302581014119,BR4:UPPER:00:2,BR4:UPPER:00:1,S:1710,P:1641,UNASSESSED
TORSION_0008,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ANNULUS_OUTER_BOUNDARY,B|ANNULUS_INTERIOR,N|ANNULUS_INTERIOR,24,-176.69167947598035,9.968286754301692,175.5594423493038,A:UPPER:-11:-1,A:UPPER:-13:-1,A:UPPER:-14:-2,BR4:UPPER:07:4,UNASSESSED
TORSION_0009,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ANNULUS_OUTER_BOUNDARY,B|ANNULUS_INTERIOR,N|ANNULUS_OUTER_BOUNDARY,24,-77.27988520761618,-5.03171324569831,71.7225442974937,A:UPPER:-14:0,A:UPPER:-13:-1,A:UPPER:-14:-2,BR4:UPPER:07:4,UNASSESSED
TORSION_0010,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ANNULUS_OUTER_BOUNDARY,B|ANNULUS_OUTER_BOUNDARY,H|ANNULUS_OUTER_PASSIVANT_H,6,-131.849480492962,-0.3722806231425248,134.3439455500441,H4:UPPER:0029:0,A:UPPER:-13:-5,A:UPPER:-14:-4,BR4:UPPER:06:4,UNASSESSED
TORSION_0011,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ANNULUS_OUTER_BOUNDARY,B|ANNULUS_OUTER_BOUNDARY,N|ANNULUS_INTERIOR,6,-177.28513893752842,-56.89207777332583,177.13599476334124,A:UPPER:-11:-5,A:UPPER:-13:-5,A:UPPER:-14:-4,BR4:UPPER:06:4,UNASSESSED
TORSION_0012,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|HEXAGONAL_EDGE_COMPLETION_SEED,B|PARENT_HBN,N|HEXAGONAL_EDGE_COMPLETION_SEED,30,-96.76851007183402,-0.18361988573622862,94.1734314006197,S:1687,P:0,S:1686,BR4:LOWER:03:1,UNASSESSED
TORSION_0013,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|HEXAGONAL_EDGE_COMPLETION_SEED,B|PARENT_HBN,N|PARENT_HBN,30,-152.8984908671282,-0.2588341013876345,166.5122901045558,P:1,P:0,S:1686,BR4:LOWER:03:1,UNASSESSED
TORSION_0014,B|ANNULUS_INNER_BOUNDARY,N|ANNULUS_INTERIOR,B|ANNULUS_INNER_BOUNDARY,H|ANNULUS_INNER_PASSIVANT_H,12,-104.3277657128892,0.10078977229806796,105.66240931279637,H4:LOWER:0006:0,A:LOWER:-2:-4,A:LOWER:-4:-4,A:LOWER:-5:-3,UNASSESSED
TORSION_0015,B|ANNULUS_INNER_BOUNDARY,N|ANNULUS_INTERIOR,B|ANNULUS_INNER_BOUNDARY,N|ANNULUS_INTERIOR,12,180.0,180.0,180.0,A:LOWER:-1:-5,A:LOWER:-2:-4,A:LOWER:-4:-4,A:LOWER:-5:-3,UNASSESSED
TORSION_0016,B|ANNULUS_INNER_BOUNDARY,N|ANNULUS_INTERIOR,B|ANNULUS_INTERIOR,N|ANNULUS_INNER_BOUNDARY,12,0.0,0.0,0.0,A:LOWER:-2:-4,A:LOWER:-1:-5,A:LOWER:1:-5,A:LOWER:2:-4,UNASSESSED
TORSION_0017,B|ANNULUS_INNER_BOUNDARY,N|ANNULUS_INTERIOR,B|ANNULUS_INTERIOR,N|ANNULUS_INTERIOR,60,0.0,108.0,180.0,A:LOWER:-2:-4,A:LOWER:-1:-5,A:LOWER:-2:-6,A:LOWER:-1:-7,UNASSESSED
TORSION_0018,B|ANNULUS_INTERIOR,N|ANNULUS_INNER_BOUNDARY,B|ANNULUS_INTERIOR,N|ANNULUS_INNER_BOUNDARY,12,180.0,180.0,180.0,A:LOWER:-8:-2,A:LOWER:-7:-1,A:LOWER:-8:0,A:LOWER:-7:1,UNASSESSED
TORSION_0019,B|ANNULUS_INTERIOR,N|ANNULUS_INNER_BOUNDARY,B|ANNULUS_INTERIOR,N|ANNULUS_INTERIOR,36,0.0,60.0,180.0,A:LOWER:-8:0,A:LOWER:-7:-1,A:LOWER:-8:-2,A:LOWER:-10:-2,UNASSESSED
TORSION_0020,B|ANNULUS_INTERIOR,N|ANNULUS_INTERIOR,B|ANNULUS_INNER_BOUNDARY,H|ANNULUS_INNER_PASSIVANT_H,36,-101.37764672451942,-0.9509066532497914,104.75485751261074,A:LOWER:-2:-6,A:LOWER:-1:-5,A:LOWER:-2:-4,H4:LOWER:0006:0,UNASSESSED
TORSION_0021,B|ANNULUS_INTERIOR,N|ANNULUS_INTERIOR,B|ANNULUS_INNER_BOUNDARY,N|ANNULUS_INTERIOR,36,0.0,60.0,180.0,A:LOWER:-2:-6,A:LOWER:-1:-5,A:LOWER:-2:-4,A:LOWER:-4:-4,UNASSESSED
TORSION_0022,B|ANNULUS_INTERIOR,N|ANNULUS_INTERIOR,B|ANNULUS_INTERIOR,N|ANNULUS_INNER_BOUNDARY,60,0.0,108.0,180.0,A:LOWER:-11:-1,A:LOWER:-10:-2,A:LOWER:-8:-2,A:LOWER:-7:-1,UNASSESSED
TORSION_0023,B|ANNULUS_INTERIOR,N|ANNULUS_INTERIOR,B|ANNULUS_INTERIOR,N|ANNULUS_INTERIOR,396,0.0,87.27272727272727,180.0,A:LOWER:-11:-3,A:LOWER:-10:-2,A:LOWER:-11:-1,A:LOWER:-10:0,UNASSESSED
TORSION_0024,B|ANNULUS_INTERIOR,N|ANNULUS_INTERIOR,B|ANNULUS_INTERIOR,N|ANNULUS_OUTER_BOUNDARY,96,0.0,90.0,180.0,A:LOWER:-11:-3,A:LOWER:-10:-4,A:LOWER:-11:-5,A:LOWER:-10:-6,UNASSESSED
TORSION_0025,B|ANNULUS_INTERIOR,N|ANNULUS_INTERIOR,B|ANNULUS_OUTER_BOUNDARY,H|ANNULUS_OUTER_PASSIVANT_H,24,-104.80411180523197,2.635477179027866,136.2708710768675,H4:UPPER:0027:0,A:UPPER:-10:-6,A:UPPER:-11:-5,A:UPPER:-10:-4,UNASSESSED
TORSION_0026,B|ANNULUS_INTERIOR,N|ANNULUS_INTERIOR,B|ANNULUS_OUTER_BOUNDARY,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,24,-156.11291754072641,24.153692879528418,168.56556047567545,A:LOWER:-11:-1,A:LOWER:-13:-1,A:LOWER:-14:-2,BR4:LOWER:06:4,UNASSESSED
TORSION_0027,B|ANNULUS_INTERIOR,N|ANNULUS_INTERIOR,B|ANNULUS_OUTER_BOUNDARY,N|ANNULUS_INTERIOR,36,0.0,0.0,0.0,A:LOWER:-11:-1,A:LOWER:-13:-1,A:LOWER:-14:-2,A:LOWER:-13:-3,UNASSESSED
TORSION_0028,B|ANNULUS_INTERIOR,N|ANNULUS_INTERIOR,B|ANNULUS_OUTER_BOUNDARY,N|ANNULUS_OUTER_BOUNDARY,12,0.0,0.0,0.0,A:LOWER:-11:-3,A:LOWER:-13:-3,A:LOWER:-14:-4,A:LOWER:-13:-5,UNASSESSED
TORSION_0029,B|ANNULUS_INTERIOR,N|ANNULUS_OUTER_BOUNDARY,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,H|BRIDGE_PASSIVANT_H,24,-152.24737309692642,8.583018211948213,143.96162090740623,A:UPPER:-13:-1,A:UPPER:-14:-2,BR4:UPPER:07:4,H4:UPPER:0145:0,UNASSESSED
TORSION_0030,B|ANNULUS_INTERIOR,N|ANNULUS_OUTER_BOUNDARY,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,24,-175.54037496901694,-17.502227385671997,177.1027822795238,A:UPPER:-13:-1,A:UPPER:-14:-2,BR4:UPPER:07:4,BR4:UPPER:07:3,UNASSESSED
TORSION_0031,B|ANNULUS_INTERIOR,N|ANNULUS_OUTER_BOUNDARY,B|ANNULUS_INTERIOR,N|ANNULUS_INTERIOR,36,0.0,0.0,0.0,A:LOWER:-8:-6,A:LOWER:-10:-6,A:LOWER:-11:-5,A:LOWER:-10:-4,UNASSESSED
TORSION_0032,B|ANNULUS_INTERIOR,N|ANNULUS_OUTER_BOUNDARY,B|ANNULUS_INTERIOR,N|ANNULUS_OUTER_BOUNDARY,36,180.0,180.0,180.0,A:LOWER:-8:-6,A:LOWER:-10:-6,A:LOWER:-11:-5,A:LOWER:-13:-5,UNASSESSED
TORSION_0033,B|ANNULUS_INTERIOR,N|ANNULUS_OUTER_BOUNDARY,B|ANNULUS_OUTER_BOUNDARY,H|ANNULUS_OUTER_PASSIVANT_H,6,-79.15968615482049,-3.480202849816697,74.09726366898737,H4:UPPER:0029:0,A:UPPER:-13:-5,A:UPPER:-14:-4,A:UPPER:-13:-3,UNASSESSED
TORSION_0034,B|ANNULUS_INTERIOR,N|ANNULUS_OUTER_BOUNDARY,B|ANNULUS_OUTER_BOUNDARY,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,6,-177.0932905608976,-111.66292008397299,174.96480499887315,A:LOWER:-11:-5,A:LOWER:-13:-5,A:LOWER:-14:-4,BR4:LOWER:05:4,UNASSESSED
TORSION_0035,B|ANNULUS_INTERIOR,N|ANNULUS_OUTER_BOUNDARY,B|ANNULUS_OUTER_BOUNDARY,N|ANNULUS_INTERIOR,12,0.0,0.0,0.0,A:LOWER:-11:-5,A:LOWER:-13:-5,A:LOWER:-14:-4,A:LOWER:-13:-3,UNASSESSED
TORSION_0036,B|ANNULUS_OUTER_BOUNDARY,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,H|BRIDGE_PASSIVANT_H,15,-172.54737745793952,-45.570565330003205,157.72567657838272,H4:LOWER:0056:0,BR4:LOWER:00:3,BR4:LOWER:00:4,A:LOWER:13:-5,UNASSESSED
TORSION_0037,B|ANNULUS_OUTER_BOUNDARY,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,15,-64.27238783081545,31.96527403799773,106.99515506010889,BR4:LOWER:00:2,BR4:LOWER:00:3,BR4:LOWER:00:4,A:LOWER:13:-5,UNASSESSED
TORSION_0038,B|ANNULUS_OUTER_BOUNDARY,N|ANNULUS_INTERIOR,B|ANNULUS_INTERIOR,N|ANNULUS_INTERIOR,96,0.0,90.0,180.0,A:LOWER:-10:-2,A:LOWER:-11:-1,A:LOWER:-13:-1,A:LOWER:-14:-2,UNASSESSED
TORSION_0039,B|ANNULUS_OUTER_BOUNDARY,N|ANNULUS_INTERIOR,B|ANNULUS_OUTER_BOUNDARY,H|ANNULUS_OUTER_PASSIVANT_H,24,-125.98714642020344,2.635477179027866,124.7971942979152,H4:UPPER:0027:0,A:UPPER:-10:-6,A:UPPER:-11:-5,A:UPPER:-13:-5,UNASSESSED
TORSION_0040,B|ANNULUS_OUTER_BOUNDARY,N|ANNULUS_INTERIOR,B|ANNULUS_OUTER_BOUNDARY,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,24,-74.32157055679782,-5.846307120471586,73.64537988375757,A:LOWER:-14:0,A:LOWER:-13:-1,A:LOWER:-14:-2,BR4:LOWER:06:4,UNASSESSED
TORSION_0041,B|ANNULUS_OUTER_BOUNDARY,N|ANNULUS_INTERIOR,B|ANNULUS_OUTER_BOUNDARY,N|ANNULUS_INTERIOR,36,180.0,180.0,180.0,A:LOWER:-14:0,A:LOWER:-13:-1,A:LOWER:-14:-2,A:LOWER:-13:-3,UNASSESSED
TORSION_0042,B|ANNULUS_OUTER_BOUNDARY,N|ANNULUS_INTERIOR,B|ANNULUS_OUTER_BOUNDARY,N|ANNULUS_OUTER_BOUNDARY,12,180.0,180.0,180.0,A:LOWER:-14:-2,A:LOWER:-13:-3,A:LOWER:-14:-4,A:LOWER:-13:-5,UNASSESSED
TORSION_0043,B|ANNULUS_OUTER_BOUNDARY,N|ANNULUS_OUTER_BOUNDARY,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,H|BRIDGE_PASSIVANT_H,6,-108.20927507608049,-27.981189025781884,109.3933316276547,A:UPPER:-13:-5,A:UPPER:-14:-4,BR4:UPPER:06:4,H4:UPPER:0141:0,UNASSESSED
TORSION_0044,B|ANNULUS_OUTER_BOUNDARY,N|ANNULUS_OUTER_BOUNDARY,B|ALTERNATING_BN_FOUR_ATOM_BRIDGE,N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,6,-39.65946756244895,-5.17780748343746,32.66171942279902,A:UPPER:-13:-5,A:UPPER:-14:-4,BR4:UPPER:06:4,BR4:UPPER:06:3,UNASSESSED
