file,suffix,size_bytes,classification,classification_reason,recognized_sections,parameter_sections,instance_sections,parameter_line_count,reference_marker_count,dummy_marker_count,sha256
environment/mt_phase0_pip_freeze.txt,.txt,15307,NO_USABLE_BN_H_PARAMETER_CONTENT,No explicit reusable BN/H parameter terms identified,,,,0,0,0,cd07ca95ba5fb301dd59e42ea66f6aa9b37016603493741af3e330c6e01243ff
parameters/phase1A/accepted/hybrid_dry_gromacs/SHA256SUMS.txt,.txt,908,MANIFEST_OR_CHECKSUM,Checksum or manifest file,,,,0,0,0,2a6ed53fabda085210bfb3d8fbcfb3b45c1a872c13fb319b8a8982a6c0ba5a29
parameters/phase1A/accepted/hybrid_dry_gromacs/hbn_fixed_dummy.itp,.itp,84189,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,atoms | moleculetype,,atoms | moleculetype,0,0,4,b1ec837d2483f076e4ac72059b4b696599b2d8be180e7951314c172e3a144cf0
parameters/phase1A/accepted/hybrid_dry_gromacs/hbn_pyrene_4_dry.top,.top,702,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,atomtypes | defaults | molecules | system,atomtypes,molecules | system,2,0,2,d4d08f743c26d5c6f8a6e3a2a3bd2a5a2805e8039028d855cef70e87ba8e1269
parameters/phase1A/accepted/hybrid_dry_gromacs/pyrene.itp,.itp,13775,INSTANCE_TOPOLOGY_ONLY,Contains instantiated molecular topology but no parameter-type sections,angles | atoms | bonds | dihedrals | moleculetype | pairs,,angles | atoms | bonds | dihedrals | moleculetype | pairs,0,0,0,b8779dda47780d37a0bc5814eae5e704c28f0d61e2b0db9bc8ef501936f2226a
parameters/phase1A/accepted/hybrid_hbnBonded_kang2000_improperGeo100_hydrated_baseline/hbn_bonded_candidate_kang2000_improperGeo100.itp,.itp,574859,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,angles | atoms | bonds | dihedrals | moleculetype | position_restraints,,angles | atoms | bonds | dihedrals | moleculetype,0,0,4,a2972bc14e6e19e3dd34807f434ee7587a982bb715593a8ab57bdae3bc908db8
parameters/phase1A/accepted/hybrid_hbnBonded_kang2000_improperGeo100_hydrated_baseline/hbn_fixed_dummy.itp,.itp,141396,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,atoms | moleculetype | position_restraints,,atoms | moleculetype,0,0,4,26b1db8d1eeb3a9de36253786c41cbba6f0482f313827a45d80e05f0bd439de3
parameters/phase1A/accepted/hybrid_hbnBonded_kang2000_improperGeo100_hydrated_baseline/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improperGeo100.top,.top,848,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,atomtypes | defaults | molecules | system,atomtypes,molecules | system,2,0,2,a04cb247c1f6a9e8632b97165d7046fe780cac36ae84fac72e845d5297ce89e5
parameters/phase1A/accepted/hybrid_hbnBonded_kang2000_improperGeo100_hydrated_baseline/pyrene.itp,.itp,14905,NO_USABLE_BN_H_PARAMETER_CONTENT,No explicit reusable BN/H parameter terms identified,angles | atoms | bonds | dihedrals | moleculetype | pairs | position_restraints,,angles | atoms | bonds | dihedrals | moleculetype | pairs,0,0,0,c3c7fd5bebd159444f9e32dbc79c9f029144cc2a33f334bb0ae2bc9b344b1f74
parameters/phase1A/accepted/hybrid_hbnBonded_kang2000_improperGeo100_hydrated_baseline/tip4p2005.itp,.itp,703,NO_USABLE_BN_H_PARAMETER_CONTENT,No explicit reusable BN/H parameter terms identified,atoms | exclusions | moleculetype | settles | virtual_sites3,,atoms | exclusions | moleculetype | settles,0,0,0,fccf2518123db968b7b8317877a3e2f9cf7b15aec3673c93d7ee111c9ff6133b
parameters/phase1A/accepted/hybrid_hbnBonded_kang2000_improperGeo100_validated/hbn_bonded_candidate_kang2000_improperGeo100.itp,.itp,574859,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,angles | atoms | bonds | dihedrals | moleculetype | position_restraints,,angles | atoms | bonds | dihedrals | moleculetype,0,0,4,a2972bc14e6e19e3dd34807f434ee7587a982bb715593a8ab57bdae3bc908db8
parameters/phase1A/accepted/hybrid_hbnBonded_kang2000_improperGeo100_validated/hbn_fixed_dummy.itp,.itp,141396,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,atoms | moleculetype | position_restraints,,atoms | moleculetype,0,0,4,26b1db8d1eeb3a9de36253786c41cbba6f0482f313827a45d80e05f0bd439de3
