line_number,section,atom_indices,elements,contains_H,contains_N,contains_B,contains_B_and_N,contains_B_and_H,contains_N_and_H,numeric_token_count,text,R2_transferability_established
78,BONDS,1 2,C-H,True,False,False,False,False,False,10,1  2 185.0817   0.0000   0.0000  -0.4949   0.0000   1.0000   6.0000   0.6864,False
80,BONDS,2 2,H-H,True,False,False,False,False,False,10,2  2 165.6186   0.0000   0.0000  -0.4194   0.0000   1.0000   6.0000   0.6197,False
86,BONDS,1 4,C-N,False,True,False,False,False,False,10,1  4 175.7446 131.3190 132.3859  -0.5827  -0.2709   1.0000  29.9009   0.8400,False
88,BONDS,3 4,O-N,False,True,False,False,False,False,10,3  4  86.0536 180.5864  40.0000   1.0000  -0.4462   1.0000  34.9336   0.2000,False
90,BONDS,4 4,N-N,False,True,False,False,False,False,10,4  4 134.6492  66.2329 149.2707  -0.7228  -0.1000   1.0000  19.0850   1.0000,False
92,BONDS,2 3,H-O,True,False,False,False,False,False,10,2  3 159.4722   0.0000   0.0000  -0.5725   0.0000   1.0000   6.0000   0.5505,False
94,BONDS,2 4,H-N,True,True,False,False,False,True,10,2  4 169.4485   0.0000   0.0000  -0.3268   0.0000   1.0000   6.0000   0.3201,False
96,BONDS,1 5,C-B,False,False,True,False,False,False,10,1  5 182.0531  50.0000   0.0000  -0.1782  -0.4591   1.0000  37.7369   0.2549,False
98,BONDS,2 5,H-B,True,False,True,False,True,False,10,2  5 176.4672   0.0000   0.0000  -0.2186  -0.3000   1.0000  25.0000   0.2480,False
100,BONDS,3 5,O-B,False,False,True,False,False,False,10,3  5 239.5820  63.1785   0.0000  -0.5308  -0.2500   1.0000  25.0000   1.0000,False
102,BONDS,4 5,N-B,False,True,True,True,False,False,10,4  5  89.1922 114.6634  30.5089   0.9750  -0.1676   1.0000  18.5520   1.0000,False
104,BONDS,5 5,B-B,False,False,True,False,False,False,10,5  5  80.0000  31.2822  35.5669   0.4526  -0.1699   1.0000  31.0511   0.5845,False
108,BONDS,2 6,H-Al,True,False,False,False,False,False,10,2  6  78.5674   0.0000   0.0000  -0.5170  -0.3000   0.0000  36.0000   0.0100,False
112,BONDS,4 6,N-Al,False,True,False,False,False,False,10,4  6 132.6117   0.0000   0.0000  -0.9184  -0.3000   0.0000  36.0000   0.0100,False
116,BONDS,5 6,B-Al,False,False,True,False,False,False,10,5  6  80.4692   0.0000   0.0000   0.8833  -0.2750   0.5000  20.5000   0.9938,False
119,OFF_DIAGONAL,1 2,C-H,True,False,False,False,False,False,8,1  2   0.1163   1.3831   9.9402   1.1471  -1.0000  -1.0000,False
120,OFF_DIAGONAL,2 3,H-O,True,False,False,False,False,False,8,2  3   0.0283   1.2853  10.9173   0.9259  -1.0000  -1.0000,False
122,OFF_DIAGONAL,1 4,C-N,False,True,False,False,False,False,8,1  4   0.1398   1.9263  10.1847   1.4778   1.1446   1.1216,False
123,OFF_DIAGONAL,2 4,H-N,True,True,False,False,False,True,8,2  4   0.0480   2.3000   9.0050   1.0156  -1.0000  -1.0000,False
124,OFF_DIAGONAL,3 4,O-N,False,True,False,False,False,False,8,3  4   0.0942   1.9531  10.3265   1.3018   1.0984   1.0125,False
125,OFF_DIAGONAL,2 5,H-B,True,False,True,False,True,False,8,2  5   0.0491   1.4195  11.8727   1.1305  -1.0000  -1.0000,False
126,OFF_DIAGONAL,3 5,O-B,False,False,True,False,False,False,8,3  5   0.0900   2.3145   9.8588   1.3053   1.2559  -1.0000,False
127,OFF_DIAGONAL,4 5,N-B,False,True,True,True,False,False,8,4  5   0.0400   1.7001   9.3656   1.4650   1.2219  -1.0000,False
128,OFF_DIAGONAL,1 5,C-B,False,False,True,False,False,False,8,1  5   0.0943   1.7005  11.7588   1.3000   1.1874  -1.0000,False
130,OFF_DIAGONAL,2 6,H-Al,True,False,False,False,False,False,8,2  6   0.0549   1.3617  12.7585   1.7073  -1.0000  -1.0000,False
132,OFF_DIAGONAL,4 6,N-Al,False,True,False,False,False,False,8,4  6   0.3463   1.9794  10.3688   2.4727  -1.0000  -1.0000,False
133,OFF_DIAGONAL,5 6,B-Al,False,False,True,False,False,False,8,5  6   0.0844   1.9866  11.7731   1.6820  -1.0000  -1.0000,False
136,ANGLES,1 1 2,C-C-H,True,False,False,False,False,False,10,1  1  2  58.9292  15.1099   4.4631   0.0000   0.0287   0.0000   1.8837,False
137,ANGLES,2 1 2,H-C-H,True,False,False,False,False,False,10,2  1  2  64.8992  17.4932   1.9470   0.0000   3.0000   0.0000   1.0135,False
138,ANGLES,1 2 2,C-H-H,True,False,False,False,False,False,10,1  2  2   0.0000   0.0000   6.0000   0.0000   0.0000   0.0000   1.0400,False
139,ANGLES,1 2 1,C-H-C,True,False,False,False,False,False,10,1  2  1   0.0000   7.5000   5.0000   0.0000   0.0000   0.0000   1.0400,False
140,ANGLES,2 2 2,H-H-H,True,False,False,False,False,False,10,2  2  2   0.0000  27.9213   5.8635   0.0000   0.0000   0.0000   1.0400,False
143,ANGLES,2 1 3,H-C-O,True,False,False,False,False,False,10,2  1  3  50.0000  23.3223   1.0888   0.0000   0.1000   0.0000   1.5647,False
147,ANGLES,1 3 2,C-O-H,True,False,False,False,False,False,10,1  3  2  90.0000   9.5520   1.7468   0.0000   1.2146   0.0000   3.0000,False
148,ANGLES,2 3 3,H-O-O,True,False,False,False,False,False,10,2  3  3  79.5453  50.0000   2.1630   0.0000   3.0000   0.0000   1.2391,False
