atom_id,element,atom_role,node_type,source_edge_id,parent_inside_node,x_angstrom,y_angstrom,z_angstrom,artificial_cap
A:LOWER:11:-5,N,ORIGINAL_FRAGMENT_ATOM,ANNULUS_INTERIOR,,,43.2508795766,28.9998428972,17.5009769813,False
A:LOWER:13:-5,B,ORIGINAL_FRAGMENT_ATOM,ANNULUS_OUTER_BOUNDARY,,,43.2508852494,27.5501128972,17.5009769813,False
A:LOWER:14:-4,N,ORIGINAL_FRAGMENT_ATOM,ANNULUS_OUTER_BOUNDARY,,,41.9953850772,26.8252429845,17.5009769813,False
BR4:LOWER:00:1,B,ORIGINAL_FRAGMENT_ATOM,ALTERNATING_BN_FOUR_ATOM_BRIDGE,,,40.3965502289,24.7047110686,18.3483566998,False
BR4:LOWER:00:2,N,ORIGINAL_FRAGMENT_ATOM,ALTERNATING_BN_FOUR_ATOM_BRIDGE,,,41.8414282872,24.6569529817,18.4559037533,False
BR4:LOWER:00:3,B,ORIGINAL_FRAGMENT_ATOM,ALTERNATING_BN_FOUR_ATOM_BRIDGE,,,42.7459050380,24.9719963264,17.3677144379,False
BR4:LOWER:00:4,N,ORIGINAL_FRAGMENT_ATOM,ALTERNATING_BN_FOUR_ATOM_BRIDGE,,,43.5505822453,26.1652713319,17.1942873424,False
H4:LOWER:0054:0,H,ORIGINAL_FRAGMENT_ATOM,BRIDGE_PASSIVANT_H,,,39.5463255005,23.9444887911,18.0088276140,False
H4:LOWER:0055:0,H,ORIGINAL_FRAGMENT_ATOM,BRIDGE_PASSIVANT_H,,,42.2058652878,23.9716812260,19.1021918420,False
H4:LOWER:0056:0,H,ORIGINAL_FRAGMENT_ATOM,BRIDGE_PASSIVANT_H,,,42.5088882578,24.2223997024,16.4743903382,False
H4:LOWER:0057:0,H,ORIGINAL_FRAGMENT_ATOM,BRIDGE_PASSIVANT_H,,,44.2493143713,26.2872081925,16.4752568714,False
P:46,B,ORIGINAL_FRAGMENT_ATOM,PARENT_HBN,,,38.2300000000,25.0500000000,20.0000000000,False
P:48,B,ORIGINAL_FRAGMENT_ATOM,PARENT_HBN,,,40.6800000000,25.5700000000,20.0000000000,False
S:1680,N,ORIGINAL_FRAGMENT_ATOM,HEXAGONAL_EDGE_COMPLETION_SEED,,,39.4550000000,25.3100000000,19.2695945832,False
HCAP:LOWER:01,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,E:70,P:46,38.2300000000,25.0500000000,21.1900000000,True
HCAP:LOWER:02,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,E:73,P:48,40.6800000000,25.5700000000,21.1900000000,True
HCAP:LOWER:03,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,E:2463,P:48,41.6198646645,25.9886296759,19.4020839465,True
HCAP:LOWER:04,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,E:2520,P:46,37.1998426604,25.0500000000,19.4042854244,True
HCAP:LOWER:05,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,E:2721,A:LOWER:11:-5,44.1255632584,29.5048463198,17.5009769813,True
HCAP:LOWER:06,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,E:2722,A:LOWER:11:-5,42.3761919428,29.5048394746,17.5009769813,True
HCAP:LOWER:07,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,E:2740,A:LOWER:14:-4,41.1206974433,27.3302395618,17.5009769813,True
H4:LOWER:0017:0,H,EXISTING_R2_HYDROGEN_ADDED,ANNULUS_OUTER_PASSIVANT_H,E:3084,A:LOWER:14:-4,41.6190109554,26.7230258366,16.5693149314,False
