fragment,atom_1,element_1,atom_2,element_2,edge_source,distance_angstrom,allowed_min_angstrom,allowed_max_angstrom,bond_distance_gate_pass
QM_F06_LOWER_CAPPED,A:LOWER:11:-5,N,A:LOWER:13:-5,B,ORIGINAL_INTERNAL_EDGE,1.4497300000,1.2,1.75,True
QM_F06_LOWER_CAPPED,A:LOWER:11:-5,N,HCAP:LOWER:05,H,ARTIFICIAL_CAP_BOND,1.0100000000,0.8,1.25,True
QM_F06_LOWER_CAPPED,A:LOWER:11:-5,N,HCAP:LOWER:06,H,ARTIFICIAL_CAP_BOND,1.0100000000,0.8,1.25,True
QM_F06_LOWER_CAPPED,A:LOWER:13:-5,B,A:LOWER:14:-4,N,ORIGINAL_INTERNAL_EDGE,1.4497299999,1.2,1.75,True
QM_F06_LOWER_CAPPED,A:LOWER:13:-5,B,BR4:LOWER:00:4,N,ORIGINAL_INTERNAL_EDGE,1.4497113454,1.2,1.75,True
QM_F06_LOWER_CAPPED,A:LOWER:14:-4,N,H4:LOWER:0017:0,H,RESTORED_EXISTING_H_EDGE,1.0100000001,0.8,1.25,True
QM_F06_LOWER_CAPPED,A:LOWER:14:-4,N,HCAP:LOWER:07,H,ARTIFICIAL_CAP_BOND,1.0100000000,0.8,1.25,True
QM_F06_LOWER_CAPPED,BR4:LOWER:00:1,B,BR4:LOWER:00:2,N,ORIGINAL_INTERNAL_EDGE,1.4496619630,1.2,1.75,True
QM_F06_LOWER_CAPPED,BR4:LOWER:00:1,B,H4:LOWER:0054:0,H,ORIGINAL_INTERNAL_EDGE,1.1900000000,0.9,1.4,True
QM_F06_LOWER_CAPPED,BR4:LOWER:00:1,B,S:1680,N,ORIGINAL_INTERNAL_EDGE,1.4496795376,1.2,1.75,True
QM_F06_LOWER_CAPPED,BR4:LOWER:00:2,N,BR4:LOWER:00:3,B,ORIGINAL_INTERNAL_EDGE,1.4496504710,1.2,1.75,True
QM_F06_LOWER_CAPPED,BR4:LOWER:00:2,N,H4:LOWER:0055:0,H,ORIGINAL_INTERNAL_EDGE,1.0100000001,0.8,1.25,True
QM_F06_LOWER_CAPPED,BR4:LOWER:00:3,B,BR4:LOWER:00:4,N,ORIGINAL_INTERNAL_EDGE,1.4496508559,1.2,1.75,True
QM_F06_LOWER_CAPPED,BR4:LOWER:00:3,B,H4:LOWER:0056:0,H,ORIGINAL_INTERNAL_EDGE,1.1900000000,0.9,1.4,True
QM_F06_LOWER_CAPPED,BR4:LOWER:00:4,N,H4:LOWER:0057:0,H,ORIGINAL_INTERNAL_EDGE,1.0100000001,0.8,1.25,True
QM_F06_LOWER_CAPPED,HCAP:LOWER:01,H,P:46,B,ARTIFICIAL_CAP_BOND,1.1900000000,0.9,1.4,True
QM_F06_LOWER_CAPPED,HCAP:LOWER:02,H,P:48,B,ARTIFICIAL_CAP_BOND,1.1900000000,0.9,1.4,True
QM_F06_LOWER_CAPPED,HCAP:LOWER:03,H,P:48,B,ARTIFICIAL_CAP_BOND,1.1900000001,0.9,1.4,True
QM_F06_LOWER_CAPPED,HCAP:LOWER:04,H,P:46,B,ARTIFICIAL_CAP_BOND,1.1900000000,0.9,1.4,True
QM_F06_LOWER_CAPPED,P:46,B,S:1680,N,ORIGINAL_INTERNAL_EDGE,1.4497300000,1.2,1.75,True
QM_F06_LOWER_CAPPED,P:48,B,S:1680,N,ORIGINAL_INTERNAL_EDGE,1.4497300000,1.2,1.75,True
