fragment,atom_id,element,atom_role,node_type,observed_graph_degree,expected_graph_degree,degree_gate_pass,neighbors
QM_F06_LOWER_CAPPED,A:LOWER:11:-5,N,ORIGINAL_FRAGMENT_ATOM,ANNULUS_INTERIOR,3,3,True,A:LOWER:13:-5|HCAP:LOWER:05|HCAP:LOWER:06
QM_F06_LOWER_CAPPED,A:LOWER:13:-5,B,ORIGINAL_FRAGMENT_ATOM,ANNULUS_OUTER_BOUNDARY,3,3,True,A:LOWER:11:-5|A:LOWER:14:-4|BR4:LOWER:00:4
QM_F06_LOWER_CAPPED,A:LOWER:14:-4,N,ORIGINAL_FRAGMENT_ATOM,ANNULUS_OUTER_BOUNDARY,3,3,True,A:LOWER:13:-5|H4:LOWER:0017:0|HCAP:LOWER:07
QM_F06_LOWER_CAPPED,BR4:LOWER:00:1,B,ORIGINAL_FRAGMENT_ATOM,ALTERNATING_BN_FOUR_ATOM_BRIDGE,3,3,True,BR4:LOWER:00:2|H4:LOWER:0054:0|S:1680
QM_F06_LOWER_CAPPED,BR4:LOWER:00:2,N,ORIGINAL_FRAGMENT_ATOM,ALTERNATING_BN_FOUR_ATOM_BRIDGE,3,3,True,BR4:LOWER:00:1|BR4:LOWER:00:3|H4:LOWER:0055:0
QM_F06_LOWER_CAPPED,BR4:LOWER:00:3,B,ORIGINAL_FRAGMENT_ATOM,ALTERNATING_BN_FOUR_ATOM_BRIDGE,3,3,True,BR4:LOWER:00:2|BR4:LOWER:00:4|H4:LOWER:0056:0
QM_F06_LOWER_CAPPED,BR4:LOWER:00:4,N,ORIGINAL_FRAGMENT_ATOM,ALTERNATING_BN_FOUR_ATOM_BRIDGE,3,3,True,A:LOWER:13:-5|BR4:LOWER:00:3|H4:LOWER:0057:0
QM_F06_LOWER_CAPPED,H4:LOWER:0017:0,H,EXISTING_R2_HYDROGEN_ADDED,ANNULUS_OUTER_PASSIVANT_H,1,1,True,A:LOWER:14:-4
QM_F06_LOWER_CAPPED,H4:LOWER:0054:0,H,ORIGINAL_FRAGMENT_ATOM,BRIDGE_PASSIVANT_H,1,1,True,BR4:LOWER:00:1
QM_F06_LOWER_CAPPED,H4:LOWER:0055:0,H,ORIGINAL_FRAGMENT_ATOM,BRIDGE_PASSIVANT_H,1,1,True,BR4:LOWER:00:2
QM_F06_LOWER_CAPPED,H4:LOWER:0056:0,H,ORIGINAL_FRAGMENT_ATOM,BRIDGE_PASSIVANT_H,1,1,True,BR4:LOWER:00:3
QM_F06_LOWER_CAPPED,H4:LOWER:0057:0,H,ORIGINAL_FRAGMENT_ATOM,BRIDGE_PASSIVANT_H,1,1,True,BR4:LOWER:00:4
QM_F06_LOWER_CAPPED,HCAP:LOWER:01,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,1,1,True,P:46
QM_F06_LOWER_CAPPED,HCAP:LOWER:02,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,1,1,True,P:48
QM_F06_LOWER_CAPPED,HCAP:LOWER:03,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,1,1,True,P:48
QM_F06_LOWER_CAPPED,HCAP:LOWER:04,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,1,1,True,P:46
QM_F06_LOWER_CAPPED,HCAP:LOWER:05,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,1,1,True,A:LOWER:11:-5
QM_F06_LOWER_CAPPED,HCAP:LOWER:06,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,1,1,True,A:LOWER:11:-5
QM_F06_LOWER_CAPPED,HCAP:LOWER:07,H,ARTIFICIAL_BOUNDARY_CAP,QM_BOUNDARY_CAP_H,1,1,True,A:LOWER:14:-4
QM_F06_LOWER_CAPPED,P:46,B,ORIGINAL_FRAGMENT_ATOM,PARENT_HBN,3,3,True,HCAP:LOWER:01|HCAP:LOWER:04|S:1680
QM_F06_LOWER_CAPPED,P:48,B,ORIGINAL_FRAGMENT_ATOM,PARENT_HBN,3,3,True,HCAP:LOWER:02|HCAP:LOWER:03|S:1680
QM_F06_LOWER_CAPPED,S:1680,N,ORIGINAL_FRAGMENT_ATOM,HEXAGONAL_EDGE_COMPLETION_SEED,3,3,True,BR4:LOWER:00:1|P:46|P:48
