node_id,element,node_type,end,bridge_path_id,bridge_index,bridge_position,is_bridge_atom,is_attachment_center,x_nm,y_nm,z_nm,coordinate_source,energy_minimized,MD_relaxed
A:LOWER:11:-5,N,ANNULUS_INTERIOR,LOWER,,,,False,False,4.325087957664636,2.8999842897196437,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:13:-5,B,ANNULUS_OUTER_BOUNDARY,LOWER,,,,False,True,4.3250885249413455,2.7550112897207537,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
A:LOWER:14:-4,N,ANNULUS_OUTER_BOUNDARY,LOWER,,,,False,False,4.19953850771782,2.6825242984452675,1.7500976981276273,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
BR4:LOWER:00:1,B,ALTERNATING_BN_FOUR_ATOM_BRIDGE,LOWER,LOWER:BRIDGE4:00,0,1,True,False,4.039655022885172,2.470471106864656,1.834835669983069,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
BR4:LOWER:00:2,N,ALTERNATING_BN_FOUR_ATOM_BRIDGE,LOWER,LOWER:BRIDGE4:00,0,2,True,False,4.184142828721858,2.465695298169931,1.8455903753325031,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
BR4:LOWER:00:3,B,ALTERNATING_BN_FOUR_ATOM_BRIDGE,LOWER,LOWER:BRIDGE4:00,0,3,True,False,4.2745905037957925,2.497199632642352,1.7367714437893165,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
BR4:LOWER:00:4,N,ALTERNATING_BN_FOUR_ATOM_BRIDGE,LOWER,LOWER:BRIDGE4:00,0,4,True,False,4.355058224525016,2.6165271331915094,1.719428734236022,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
H4:LOWER:0054:0,H,BRIDGE_PASSIVANT_H,LOWER,,,,False,False,3.9546325500547432,2.3944488791133964,1.8008827613958114,GATE3P_HYDROGEN_ORIENTATION_SEARCH,False,False
H4:LOWER:0055:0,H,BRIDGE_PASSIVANT_H,LOWER,,,,False,False,4.220586528775785,2.3971681226031127,1.910219184196769,GATE3P_HYDROGEN_ORIENTATION_SEARCH,False,False
H4:LOWER:0056:0,H,BRIDGE_PASSIVANT_H,LOWER,,,,False,False,4.25088882578268,2.422239970237137,1.6474390338170173,GATE3P_HYDROGEN_ORIENTATION_SEARCH,False,False
H4:LOWER:0057:0,H,BRIDGE_PASSIVANT_H,LOWER,,,,False,False,4.4249314371272765,2.62872081924657,1.6475256871446091,GATE3P_HYDROGEN_ORIENTATION_SEARCH,False,False
P:46,B,PARENT_HBN,PARENT,,,,False,False,3.823,2.505,2.0,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
P:48,B,PARENT_HBN,PARENT,,,,False,False,4.068,2.557,2.0,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
S:1680,N,HEXAGONAL_EDGE_COMPLETION_SEED,LOWER,,,,False,True,3.9455,2.5309999999999997,1.9269594583193688,GATE3O_VALIDATED_HEAVY_COORDINATE,False,False
