edge_id,source_node,target_node,source_element,target_element,edge_type,end,heavy_atom_edge,heteropolar_BN_edge,graph_source,coordinates_assigned,formal_bond_order_assigned,bridge_path_id,bridge_edge_position
E:2461,P:46,S:1680,B,N,PARENT_TO_COMPLETION_SEED,LOWER,True,True,GATE3I_RETAINED_NONBRIDGE_HEAVY_EDGE,False,False,,
E:2462,P:48,S:1680,B,N,PARENT_TO_COMPLETION_SEED,LOWER,True,True,GATE3I_RETAINED_NONBRIDGE_HEAVY_EDGE,False,False,,
E:2733,A:LOWER:11:-5,A:LOWER:13:-5,N,B,ANNULUS_BN,LOWER,True,True,GATE3I_RETAINED_NONBRIDGE_HEAVY_EDGE,False,False,,
E:2739,A:LOWER:13:-5,A:LOWER:14:-4,B,N,ANNULUS_BN,LOWER,True,True,GATE3I_RETAINED_NONBRIDGE_HEAVY_EDGE,False,False,,
E:2917,S:1680,BR4:LOWER:00:1,N,B,ALTERNATING_BN_FOUR_ATOM_BRIDGE,LOWER,True,True,GATE3L_SELECTED_FOUR_ATOM_BRIDGE,False,False,LOWER:BRIDGE4:00,1
E:2918,BR4:LOWER:00:1,BR4:LOWER:00:2,B,N,ALTERNATING_BN_FOUR_ATOM_BRIDGE,LOWER,True,True,GATE3L_SELECTED_FOUR_ATOM_BRIDGE,False,False,LOWER:BRIDGE4:00,2
E:2919,BR4:LOWER:00:2,BR4:LOWER:00:3,N,B,ALTERNATING_BN_FOUR_ATOM_BRIDGE,LOWER,True,True,GATE3L_SELECTED_FOUR_ATOM_BRIDGE,False,False,LOWER:BRIDGE4:00,3
E:2920,BR4:LOWER:00:3,BR4:LOWER:00:4,B,N,ALTERNATING_BN_FOUR_ATOM_BRIDGE,LOWER,True,True,GATE3L_SELECTED_FOUR_ATOM_BRIDGE,False,False,LOWER:BRIDGE4:00,4
E:2921,BR4:LOWER:00:4,A:LOWER:13:-5,N,B,ALTERNATING_BN_FOUR_ATOM_BRIDGE,LOWER,True,True,GATE3L_SELECTED_FOUR_ATOM_BRIDGE,False,False,LOWER:BRIDGE4:00,5
E:3121,BR4:LOWER:00:1,H4:LOWER:0054:0,B,H,BRIDGE_PASSIVANT_H_BOND,LOWER,False,False,COORDINATION_DERIVED_PASSIVATION,False,False,,
E:3122,BR4:LOWER:00:2,H4:LOWER:0055:0,N,H,BRIDGE_PASSIVANT_H_BOND,LOWER,False,False,COORDINATION_DERIVED_PASSIVATION,False,False,,
E:3123,BR4:LOWER:00:3,H4:LOWER:0056:0,B,H,BRIDGE_PASSIVANT_H_BOND,LOWER,False,False,COORDINATION_DERIVED_PASSIVATION,False,False,,
E:3124,BR4:LOWER:00:4,H4:LOWER:0057:0,N,H,BRIDGE_PASSIVANT_H_BOND,LOWER,False,False,COORDINATION_DERIVED_PASSIVATION,False,False,,
