fragment,atom_1,element_1,atom_2,element_2,edge_source,distance_angstrom,allowed_min_angstrom,allowed_max_angstrom,bond_distance_gate_pass
QM_F06_UPPER_CAPPED,A:UPPER:11:5,B,A:UPPER:13:5,N,ORIGINAL_INTERNAL_EDGE,1.4497300001,1.2,1.75,True
QM_F06_UPPER_CAPPED,A:UPPER:11:5,B,HCAP:UPPER:05,H,ARTIFICIAL_CAP_BOND,1.1899999999,0.9,1.4,True
QM_F06_UPPER_CAPPED,A:UPPER:11:5,B,HCAP:UPPER:06,H,ARTIFICIAL_CAP_BOND,1.1900000000,0.9,1.4,True
QM_F06_UPPER_CAPPED,A:UPPER:13:5,N,A:UPPER:14:4,B,ORIGINAL_INTERNAL_EDGE,1.4497300000,1.2,1.75,True
QM_F06_UPPER_CAPPED,A:UPPER:13:5,N,BR4:UPPER:00:4,B,ORIGINAL_INTERNAL_EDGE,1.4496415205,1.2,1.75,True
QM_F06_UPPER_CAPPED,A:UPPER:14:4,B,H4:UPPER:0047:0,H,RESTORED_EXISTING_H_EDGE,1.1900000000,0.9,1.4,True
QM_F06_UPPER_CAPPED,A:UPPER:14:4,B,HCAP:UPPER:07,H,ARTIFICIAL_CAP_BOND,1.1900000000,0.9,1.4,True
QM_F06_UPPER_CAPPED,BR4:UPPER:00:1,N,BR4:UPPER:00:2,B,ORIGINAL_INTERNAL_EDGE,1.4494257237,1.2,1.75,True
QM_F06_UPPER_CAPPED,BR4:UPPER:00:1,N,H4:UPPER:0114:0,H,ORIGINAL_INTERNAL_EDGE,1.0100000001,0.8,1.25,True
QM_F06_UPPER_CAPPED,BR4:UPPER:00:1,N,S:1710,B,ORIGINAL_INTERNAL_EDGE,1.4496134199,1.2,1.75,True
QM_F06_UPPER_CAPPED,BR4:UPPER:00:2,B,BR4:UPPER:00:3,N,ORIGINAL_INTERNAL_EDGE,1.4494956590,1.2,1.75,True
QM_F06_UPPER_CAPPED,BR4:UPPER:00:2,B,H4:UPPER:0115:0,H,ORIGINAL_INTERNAL_EDGE,1.1900000000,0.9,1.4,True
QM_F06_UPPER_CAPPED,BR4:UPPER:00:3,N,BR4:UPPER:00:4,B,ORIGINAL_INTERNAL_EDGE,1.4494399279,1.2,1.75,True
QM_F06_UPPER_CAPPED,BR4:UPPER:00:3,N,H4:UPPER:0116:0,H,ORIGINAL_INTERNAL_EDGE,1.0100000000,0.8,1.25,True
QM_F06_UPPER_CAPPED,BR4:UPPER:00:4,B,H4:UPPER:0117:0,H,ORIGINAL_INTERNAL_EDGE,1.1900000000,0.9,1.4,True
QM_F06_UPPER_CAPPED,HCAP:UPPER:01,H,P:1641,N,ARTIFICIAL_CAP_BOND,1.0100000000,0.8,1.25,True
QM_F06_UPPER_CAPPED,HCAP:UPPER:02,H,P:1643,N,ARTIFICIAL_CAP_BOND,1.0100000000,0.8,1.25,True
QM_F06_UPPER_CAPPED,HCAP:UPPER:03,H,P:1643,N,ARTIFICIAL_CAP_BOND,1.0100000000,0.8,1.25,True
QM_F06_UPPER_CAPPED,HCAP:UPPER:04,H,P:1641,N,ARTIFICIAL_CAP_BOND,1.0100000000,0.8,1.25,True
QM_F06_UPPER_CAPPED,P:1641,N,S:1710,B,ORIGINAL_INTERNAL_EDGE,1.4497300000,1.2,1.75,True
QM_F06_UPPER_CAPPED,P:1643,N,S:1710,B,ORIGINAL_INTERNAL_EDGE,1.4497300000,1.2,1.75,True
