fragment,atom_1,element_1,role_1,atom_2,element_2,role_2,distance_angstrom,vdw_sum_angstrom,distance_over_vdw_sum,classification,involves_artificial_cap,involves_existing_hydrogen,requires_geometry_repair
QM_F06_UPPER_CAPPED,A:UPPER:11:5,B,ORIGINAL_FRAGMENT_ATOM,A:UPPER:14:4,B,ORIGINAL_FRAGMENT_ATOM,2.5110060173,3.8400000000,0.6539078170,SEVERE_CLASH,False,False,True
QM_F06_UPPER_CAPPED,A:UPPER:11:5,B,ORIGINAL_FRAGMENT_ATOM,BR4:UPPER:00:4,B,ORIGINAL_FRAGMENT_ATOM,2.8831191325,3.8400000000,0.7508122741,STRONG_COMPRESSION,False,False,True
QM_F06_UPPER_CAPPED,A:UPPER:11:5,B,ORIGINAL_FRAGMENT_ATOM,H4:UPPER:0047:0,H,EXISTING_R2_HYDROGEN_ADDED,2.2846967656,3.1200000000,0.7322746044,STRONG_COMPRESSION,False,True,True
QM_F06_UPPER_CAPPED,A:UPPER:11:5,B,ORIGINAL_FRAGMENT_ATOM,HCAP:UPPER:07,H,ARTIFICIAL_BOUNDARY_CAP,2.7787139505,3.1200000000,0.8906134457,CLOSE_CONTACT,True,False,False
QM_F06_UPPER_CAPPED,A:UPPER:13:5,N,ORIGINAL_FRAGMENT_ATOM,BR4:UPPER:00:2,B,ORIGINAL_FRAGMENT_ATOM,3.1939418135,3.4700000000,0.9204443267,ACCEPTABLE,False,False,False
QM_F06_UPPER_CAPPED,A:UPPER:13:5,N,ORIGINAL_FRAGMENT_ATOM,BR4:UPPER:00:3,N,ORIGINAL_FRAGMENT_ATOM,2.5555225971,3.1000000000,0.8243621281,CLOSE_CONTACT,False,False,False
QM_F06_UPPER_CAPPED,A:UPPER:13:5,N,ORIGINAL_FRAGMENT_ATOM,H4:UPPER:0047:0,H,EXISTING_R2_HYDROGEN_ADDED,1.6783933359,2.7500000000,0.6103248494,SEVERE_CLASH,False,True,True
QM_F06_UPPER_CAPPED,A:UPPER:13:5,N,ORIGINAL_FRAGMENT_ATOM,H4:UPPER:0117:0,H,ORIGINAL_FRAGMENT_ATOM,2.3680927133,2.7500000000,0.8611246230,CLOSE_CONTACT,False,False,False
QM_F06_UPPER_CAPPED,A:UPPER:13:5,N,ORIGINAL_FRAGMENT_ATOM,HCAP:UPPER:05,H,ARTIFICIAL_BOUNDARY_CAP,2.2897588897,2.7500000000,0.8326395963,CLOSE_CONTACT,True,False,False
QM_F06_UPPER_CAPPED,A:UPPER:13:5,N,ORIGINAL_FRAGMENT_ATOM,HCAP:UPPER:06,H,ARTIFICIAL_BOUNDARY_CAP,2.2897588897,2.7500000000,0.8326395963,CLOSE_CONTACT,True,False,False
