edge_id,source_node,target_node,source_element,target_element,edge_type,end,heavy_atom_edge,heteropolar_BN_edge,graph_source,coordinates_assigned,formal_bond_order_assigned,bridge_path_id,bridge_edge_position
E:2521,P:1641,S:1710,N,B,PARENT_TO_COMPLETION_SEED,UPPER,True,True,GATE3I_RETAINED_NONBRIDGE_HEAVY_EDGE,False,False,,
E:2522,P:1643,S:1710,N,B,PARENT_TO_COMPLETION_SEED,UPPER,True,True,GATE3I_RETAINED_NONBRIDGE_HEAVY_EDGE,False,False,,
E:2906,A:UPPER:11:5,A:UPPER:13:5,B,N,ANNULUS_BN,UPPER,True,True,GATE3I_RETAINED_NONBRIDGE_HEAVY_EDGE,False,False,,
E:2916,A:UPPER:13:5,A:UPPER:14:4,N,B,ANNULUS_BN,UPPER,True,True,GATE3I_RETAINED_NONBRIDGE_HEAVY_EDGE,False,False,,
E:2992,S:1710,BR4:UPPER:00:1,B,N,ALTERNATING_BN_FOUR_ATOM_BRIDGE,UPPER,True,True,GATE3L_SELECTED_FOUR_ATOM_BRIDGE,False,False,UPPER:BRIDGE4:00,1
E:2993,BR4:UPPER:00:1,BR4:UPPER:00:2,N,B,ALTERNATING_BN_FOUR_ATOM_BRIDGE,UPPER,True,True,GATE3L_SELECTED_FOUR_ATOM_BRIDGE,False,False,UPPER:BRIDGE4:00,2
E:2994,BR4:UPPER:00:2,BR4:UPPER:00:3,B,N,ALTERNATING_BN_FOUR_ATOM_BRIDGE,UPPER,True,True,GATE3L_SELECTED_FOUR_ATOM_BRIDGE,False,False,UPPER:BRIDGE4:00,3
E:2995,BR4:UPPER:00:3,BR4:UPPER:00:4,N,B,ALTERNATING_BN_FOUR_ATOM_BRIDGE,UPPER,True,True,GATE3L_SELECTED_FOUR_ATOM_BRIDGE,False,False,UPPER:BRIDGE4:00,4
E:2996,BR4:UPPER:00:4,A:UPPER:13:5,B,N,ALTERNATING_BN_FOUR_ATOM_BRIDGE,UPPER,True,True,GATE3L_SELECTED_FOUR_ATOM_BRIDGE,False,False,UPPER:BRIDGE4:00,5
E:3181,BR4:UPPER:00:1,H4:UPPER:0114:0,N,H,BRIDGE_PASSIVANT_H_BOND,UPPER,False,False,COORDINATION_DERIVED_PASSIVATION,False,False,,
E:3182,BR4:UPPER:00:2,H4:UPPER:0115:0,B,H,BRIDGE_PASSIVANT_H_BOND,UPPER,False,False,COORDINATION_DERIVED_PASSIVATION,False,False,,
E:3183,BR4:UPPER:00:3,H4:UPPER:0116:0,N,H,BRIDGE_PASSIVANT_H_BOND,UPPER,False,False,COORDINATION_DERIVED_PASSIVATION,False,False,,
E:3184,BR4:UPPER:00:4,H4:UPPER:0117:0,B,H,BRIDGE_PASSIVANT_H_BOND,UPPER,False,False,COORDINATION_DERIVED_PASSIVATION,False,False,,
