fragment,atom_1,element_1,role_1,atom_2,element_2,role_2,graph_separation,distance_angstrom,vdw_sum_angstrom,distance_over_vdw_sum,classification,involves_artificial_cap,requires_geometry_repair
QM_F06_LOWER_CAPPED,A:LOWER:13:-5,B,ORIGINAL_FRAGMENT_ATOM,HCAP:LOWER:03,H,ARTIFICIAL_BOUNDARY_CAP,7,2.9517224957,3.1200000000,0.9460649025,ACCEPTABLE,True,False
QM_F06_LOWER_CAPPED,A:LOWER:14:-4,N,ORIGINAL_FRAGMENT_ATOM,BR4:LOWER:00:1,B,ORIGINAL_FRAGMENT_ATOM,5,2.7876479092,3.4700000000,0.8033567462,CLOSE_CONTACT,False,False
QM_F06_LOWER_CAPPED,A:LOWER:14:-4,N,ORIGINAL_FRAGMENT_ATOM,BR4:LOWER:00:2,N,ORIGINAL_FRAGMENT_ATOM,4,2.3742513282,3.1000000000,0.7658875252,STRONG_COMPRESSION,False,True
QM_F06_LOWER_CAPPED,A:LOWER:14:-4,N,ORIGINAL_FRAGMENT_ATOM,HCAP:LOWER:03,H,ARTIFICIAL_BOUNDARY_CAP,8,2.1107214647,2.7500000000,0.7675350781,STRONG_COMPRESSION,True,True
QM_F06_LOWER_CAPPED,A:LOWER:14:-4,N,ORIGINAL_FRAGMENT_ATOM,P:48,B,ORIGINAL_FRAGMENT_ATOM,7,3.0904674241,3.4700000000,0.8906246179,CLOSE_CONTACT,False,False
QM_F06_LOWER_CAPPED,BR4:LOWER:00:1,B,ORIGINAL_FRAGMENT_ATOM,H4:LOWER:0017:0,H,EXISTING_R2_HYDROGEN_ADDED,6,2.9551640131,3.1200000000,0.9471679529,ACCEPTABLE,False,False
QM_F06_LOWER_CAPPED,BR4:LOWER:00:1,B,ORIGINAL_FRAGMENT_ATOM,HCAP:LOWER:07,H,ARTIFICIAL_BOUNDARY_CAP,6,2.8523396439,3.1200000000,0.9142114243,ACCEPTABLE,True,False
QM_F06_LOWER_CAPPED,BR4:LOWER:00:2,N,ORIGINAL_FRAGMENT_ATOM,HCAP:LOWER:03,H,ARTIFICIAL_BOUNDARY_CAP,4,1.6485479110,2.7500000000,0.5994719676,SEVERE_CLASH,True,True
QM_F06_LOWER_CAPPED,BR4:LOWER:00:3,B,ORIGINAL_FRAGMENT_ATOM,H4:LOWER:0017:0,H,EXISTING_R2_HYDROGEN_ADDED,4,2.2301202638,3.1200000000,0.7147821358,STRONG_COMPRESSION,False,True
QM_F06_LOWER_CAPPED,BR4:LOWER:00:3,B,ORIGINAL_FRAGMENT_ATOM,HCAP:LOWER:03,H,ARTIFICIAL_BOUNDARY_CAP,5,2.5377489213,3.1200000000,0.8133810645,CLOSE_CONTACT,True,False
QM_F06_LOWER_CAPPED,BR4:LOWER:00:3,B,ORIGINAL_FRAGMENT_ATOM,HCAP:LOWER:07,H,ARTIFICIAL_BOUNDARY_CAP,4,2.8671187259,3.1200000000,0.9189483096,ACCEPTABLE,True,False
QM_F06_LOWER_CAPPED,BR4:LOWER:00:3,B,ORIGINAL_FRAGMENT_ATOM,P:48,B,ORIGINAL_FRAGMENT_ATOM,4,3.3991909773,3.8400000000,0.8852059837,CLOSE_CONTACT,False,False
QM_F06_LOWER_CAPPED,H4:LOWER:0055:0,H,ORIGINAL_FRAGMENT_ATOM,HCAP:LOWER:03,H,ARTIFICIAL_BOUNDARY_CAP,5,2.1216533775,2.4000000000,0.8840222406,CLOSE_CONTACT,True,False
QM_F06_LOWER_CAPPED,H4:LOWER:0055:0,H,ORIGINAL_FRAGMENT_ATOM,P:48,B,ORIGINAL_FRAGMENT_ATOM,4,2.3851514141,3.1200000000,0.7644716071,STRONG_COMPRESSION,False,True
QM_F06_LOWER_CAPPED,HCAP:LOWER:03,H,ARTIFICIAL_BOUNDARY_CAP,HCAP:LOWER:07,H,ARTIFICIAL_BOUNDARY_CAP,9,2.3797673613,2.4000000000,0.9915697339,ACCEPTABLE,True,False
QM_F06_LOWER_CAPPED,HCAP:LOWER:07,H,ARTIFICIAL_BOUNDARY_CAP,P:48,B,ORIGINAL_FRAGMENT_ATOM,8,3.0883286094,3.1200000000,0.9898489133,ACCEPTABLE,True,False
QM_F06_UPPER_CAPPED,A:UPPER:14:4,B,ORIGINAL_FRAGMENT_ATOM,BR4:UPPER:00:1,N,ORIGINAL_FRAGMENT_ATOM,5,3.1604037288,3.4700000000,0.9107791726,ACCEPTABLE,False,False
QM_F06_UPPER_CAPPED,A:UPPER:14:4,B,ORIGINAL_FRAGMENT_ATOM,BR4:UPPER:00:2,B,ORIGINAL_FRAGMENT_ATOM,4,1.9870114575,3.8400000000,0.5174509004,SEVERE_CLASH,False,True
QM_F06_UPPER_CAPPED,A:UPPER:14:4,B,ORIGINAL_FRAGMENT_ATOM,H4:UPPER:0115:0,H,ORIGINAL_FRAGMENT_ATOM,5,2.2768211239,3.1200000000,0.7297503602,STRONG_COMPRESSION,False,True
QM_F06_UPPER_CAPPED,A:UPPER:14:4,B,ORIGINAL_FRAGMENT_ATOM,H4:UPPER:0116:0,H,ORIGINAL_FRAGMENT_ATOM,4,2.9831484056,3.1200000000,0.9561373095,ACCEPTABLE,False,False
