atom,name,r_ref_nm,r_cur_nm,delta_r_nm
1,B0001,1.23774,1.18133,-0.05640
2,N0002,1.20674,1.14672,-0.06002
3,B0003,1.23786,1.25446,0.01660
4,N0004,1.20727,1.16072,-0.04655
5,B0005,1.23746,1.09192,-0.14554
6,N0006,1.20700,1.10711,-0.09989
7,B0007,1.23597,1.16183,-0.07414
8,N0008,1.20737,1.13458,-0.07279
9,B0009,1.23662,1.26359,0.02697
10,N0010,1.20688,1.19907,-0.00782
11,B0011,1.23752,1.28210,0.04458
12,N0012,1.20750,1.22552,0.01802
13,B0013,1.23836,1.27483,0.03646
14,N0014,1.20674,1.22656,0.01981
15,B0015,1.23755,1.22874,-0.00881
16,N0016,1.20641,1.21790,0.01149
17,B0017,1.23750,1.26170,0.02419
18,N0018,1.20736,1.23480,0.02744
19,B0019,1.23822,1.32968,0.09146
20,N0020,1.20660,1.27605,0.06945
21,B0021,1.23728,1.32889,0.09161
22,N0022,1.20727,1.28461,0.07734
23,B0023,1.23630,1.30835,0.07205
24,N0024,1.20657,1.28395,0.07738
25,B0025,1.23779,1.36778,0.12999
26,N0026,1.20699,1.30309,0.09611
27,B0027,1.23612,1.38697,0.15085
28,N0028,1.20657,1.30527,0.09870
29,B0029,1.23838,1.38683,0.14845
30,N0030,1.20681,1.30147,0.09465
31,B0031,1.23727,1.36266,0.12539
32,N0032,1.20727,1.27804,0.07077
33,B0033,1.23828,1.28843,0.05015
34,N0034,1.20651,1.23135,0.02485
35,B0035,1.23592,1.17779,-0.05814
36,N0036,1.20729,1.17683,-0.03046
37,B0037,1.23752,1.23811,0.00060
38,N0038,1.20671,1.18739,-0.01932
39,B0039,1.23670,1.28004,0.04334
40,N0040,1.20696,1.21674,0.00978
41,B0041,1.23601,1.30018,0.06417
42,N0042,1.20686,1.24380,0.03694
43,B0043,1.23682,1.26346,0.02664
44,N0044,1.20646,1.24922,0.04276
45,B0045,1.23704,1.35664,0.11961
46,N0046,1.20689,1.28609,0.07920
47,B0047,1.23709,1.40317,0.16608
48,N0048,1.20694,1.31308,0.10614
49,B0049,1.23792,1.32560,0.08769
50,N0050,1.20630,1.27431,0.06802
