
reset_timestep 0

velocity all create 150 12345 mom yes rot yes dist gaussian

fix 1 all nvt temp 150 150 100.0

thermo 100

dump 1 all custom 100 heating.xyz id type x y z

dump_modify 1 sort id

run 200000
Generated 6 of 6 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7, bins = 3 3 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 12.56 | 12.56 | 12.56 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         Press     
         0   150            16.343312      16.096374      32.439686      0.21696368     0.78182367     0              0.041998877    15.302526      139.28725    
       100   91.776901      22.866837      9.8485023      32.71534       3.1836923      2.8592278      0              1.4919542      15.331963      335.22352    
       200   75.935515      25.360143      8.1485765      33.50872       4.7682834      3.6223594      0              1.228026       15.741474      990.75259    
       300   80.867503      25.969125      8.677824       34.646949      4.9249064      4.1621467      0              1.0445258      15.837546     -321.21223    
       400   79.630201      27.23309       8.5450502      35.77814       3.7057238      5.7914955      0              1.6198487      16.116022      2459.2096    
       500   108.22793      25.071423      11.613848      36.685271      3.4416736      4.6889902      0              1.3099045      15.630855      241.29552    
       600   101.76682      26.679035      10.920512      37.599548      5.1850074      3.6529652      0              1.8177353      16.023327     -505.57535    
       700   101.12859      27.832244      10.852024      38.684268      6.410509       4.2782514      0              1.167848       15.975636      306.97198    
       800   117.81535      27.249989      12.642666      39.892655      6.0240011      4.5607622      0              1.147119       15.518106     -1301.4595    
       900   115.54282      28.806293      12.398803      41.205096      5.4138146      5.1883447      0              3.1341667      15.069967     -1025.0704    
      1000   112.14953      30.547836      12.034672      42.582508      7.2849238      5.2884334      0              2.9350735      15.039405     -2061.295     
      1100   100.50216      33.179022      10.784803      43.963825      8.2279575      6.484748       0              3.1662339      15.300082     -306.46431    
      1200   131.29165      31.212992      14.088797      45.301789      7.9928275      6.0534882      0              2.0988093      15.067867     -1430.3983    
      1300   147.76898      30.709853      15.856966      46.566819      7.9428825      6.6259292      0              1.3842097      14.756832     -2685.1411    
      1400   149.17474      31.767177      16.007817      47.774994      8.9318961      5.8074971      0              2.4801218      14.547662     -2204.0277    
      1500   138.9193       34.00143       14.907314      48.908744      12.193854      4.1587085      0              2.9770486      14.67182      -3647.784     
      1600   160.20831      32.649054      17.191819      49.840873      9.8313139      5.2829453      0              1.9456698      15.589125     -645.88112    
      1700   193.26277      29.737823      20.738866      50.476689      5.6407836      6.6649188      0              2.038373       15.393747      989.93366    
      1800   172.31273      32.370399      18.490734      50.861134      6.0499405      5.7919788      0              4.2082461      16.320234      3597.9864    
      1900   171.88017      32.457978      18.444317      50.902294      7.8079727      6.521632       0              1.6510157      16.477357      2143.763     
      2000   171.17172      32.208584      18.368294      50.576878      8.0178378      6.5602812      0              1.8909176      15.739547      766.90938    
      2100   169.65369      31.667729      18.205395      49.873125      7.0898694      6.4392903      0              2.4362991      15.70227       1655.5488    
      2200   171.86249      30.421043      18.44242       48.863463      5.2400855      6.0642606      0              2.3140535      16.802644      2646.071     
      2300   154.02112      31.157543      16.527877      47.685421      5.2792663      5.0728997      0              3.678124       17.127253      1152.714     
      2400   118.79124      33.781448      12.747388      46.528836      10.164082      5.5078597      0              2.6154468      15.49406      -2241.1352    
      2500   140.7722       30.356288      15.106147      45.462435      6.1981752      5.0074015      0              3.0764553      16.074256      649.64458    
      2600   162.06145      27.214699      17.390679      44.605377      4.7858726      5.342842       0              1.2452887      15.840695      308.35135    
      2700   146.05227      28.303879      15.672747      43.976626      5.3492869      4.6212116      0              1.5551179      16.778263     -771.64503    
      2800   144.82222      28.050559      15.540751      43.591309      6.3980611      4.3284813      0              1.5007889      15.823228     -1321.4597    
      2900   125.16504      29.993558      13.431355      43.424914      8.1705427      4.0723821      0              2.6295584      15.121075     -2514.5919    
      3000   124.34638      30.130304      13.343505      43.47381       6.2209667      4.5088254      0              3.7230587      15.677454     -1561.8076    
      3100   144.72566      28.17829       15.530389      43.708679      4.9662187      4.631319       0              2.2473717      16.33338       490.06179    
      3200   134.63293      29.760035      14.447347      44.207382      5.6985792      4.7828176      0              2.3435595      16.935078      1021.1838    
      3300   127.32807      31.363593      13.663469      45.027061      8.736167       6.4013683      0              1.0007514      15.225306     -1668.2675    
      3400   137.80243      31.379123      14.787463      46.166586      7.8650535      5.1299112      0              2.5550063      15.829152      1439.0405    
      3500   176.16436      28.700349      18.90405       47.604398      4.8123276      4.7519136      0              2.3980823      16.738025      55.73276     
      3600   168.13209      31.060554      18.042114      49.102668      5.6583697      4.6413518      0              3.5775001      17.183332      1162.8281    
      3700   143.05146      35.01452       15.350733      50.365253      9.6904854      4.9295684      0              4.0498145      16.344652      2514.7474    
      3800   134.00486      36.729811      14.37995       51.109761      8.4249979      7.0508474      0              5.3538652      15.900101      839.28748    
      3900   155.0821       34.72747       16.64173       51.3692        8.3510721      4.1449464      0              4.3199309      17.911521      1942.6082    
      4000   162.77086      33.831483      17.466804      51.298288      7.0420565      6.1713175      0              3.6885974      16.929512      1105.5049    
      4100   163.30758      33.464749      17.5244        50.989149      9.2369159      4.7548568      0              2.7983504      16.674626      1008.1658    
      4200   153.33432      34.100707      16.454177      50.554885      9.0662353      6.4573714      0              2.4455822      16.131518      201.09103    
      4300   178.18093      30.910141      19.120446      50.030587      6.3151268      5.168909       0              2.5565233      16.869582      609.60417    
      4400   168.00739      31.445918      18.028732      49.47465       6.1733316      6.207578       0              2.0663832      16.998625      46.785353    
      4500   127.50312      35.18092       13.682253      48.863174      9.672847       7.3824292      0              2.9554947      15.17015      -1665.3715    
      4600   150.14573      32.166827      16.112012      48.278839      8.8742393      5.0043218      0              2.1797103      16.108556     -1916.9991    
      4700   130.86899      33.682602      14.043441      47.726043      9.5904708      5.0273565      0              3.2466128      15.818162     -2518.8659    
      4800   149.74938      31.125565      16.069481      47.195045      6.2700345      4.6074494      0              3.3704008      16.87768       577.80729    
      4900   151.06705      30.522577      16.210878      46.733455      7.409188       4.3610718      0              3.2235417      15.528775     -2129.5019    
      5000   118.07365      33.694944      12.670385      46.365328      7.7549224      6.1323788      0              4.238109       15.569533     -2154.8379    
      5100   146.8561       30.321758      15.759005      46.080763      7.5283414      4.005503       0              2.4835126      16.304401     -896.68776    
      5200   133.95162      31.474875      14.374236      45.849111      6.4306721      5.5485302      0              2.6423226      16.85335      -97.513486    
      5300   162.43358      28.293833      17.430611      45.724444      5.9589723      3.8967122      0              2.0491313      16.389017      1252.7788    
      5400   138.11825      30.833015      14.821354      45.654369      8.2841088      5.6210527      0              1.8281255      15.099728     -896.72316    
      5500   126.81634      32.041744      13.608555      45.650299      7.9273318      5.3670073      0              2.2331821      16.514222     -213.4004     
      5600   160.46558      28.573914      17.219427      45.793341      5.2354839      4.8862437      0              2.3789373      16.073249      1370.7717    
      5700   165.38439      28.462693      17.74726       46.209953      4.8869859      5.2967772      0              2.0482826      16.230647      2366.7061    
      5800   159.27119      29.775738      17.091258      46.866996      4.9651144      6.765804       0              2.4215316      15.623288      106.12154    
      5900   151.0601       31.464026      16.210132      47.674158      8.0878287      4.4616003      0              2.725547       16.18905       2188.9994    
      6000   143.8249       33.066379      15.43373       48.500109      9.1678389      5.8806435      0              2.2943321      15.723565     -659.3425     
      6100   170.77037      30.908042      18.325226      49.233268      5.166904       7.6723424      0              2.3714308      15.697365      106.96371    
      6200   161.20335      32.544104      17.298597      49.842701      5.5839887      8.4826647      0              2.4000765      16.077374      1618.5052    
      6300   133.58749      36.102028      14.335162      50.43719       9.0220238      7.5175713      0              3.9277945      15.634638      966.70264    
      6400   176.44696      31.983838      18.934375      50.918213      6.6863254      5.7284627      0              3.7527159      15.816334      145.48002    
      6500   169.49857      33.040531      18.18875       51.229281      9.2774087      6.6970242      0              2.4119989      14.6541       -868.08432    
      6600   158.26635      34.284337      16.983429      51.267766      10.92786       6.0126771      0              3.0488935      14.294906     -3984.849     
      6700   146.78132      35.152166      15.750981      50.903147      9.2145978      8.5987557      0              2.1683695      15.170443     -2382.587     
      6800   157.03255      33.239979      16.851031      50.09101       7.0306915      6.5092541      0              2.9459038      16.75413       991.46608    
      6900   150.60195      32.854446      16.160969      49.015415      6.810778       7.2629441      0              1.6365246      17.144199      1954.1326    
      7000   180.42226      28.409825      19.360961      47.770786      4.2358756      5.8503352      0              3.1326811      15.190933      67.593061    
