
reset_timestep 0

fix 1 all nvt temp 150 150 100.0

thermo 100

dump 1 all custom 100 nvt.xyz id type x y z

dump_modify 1 sort id

run 1000000
Generated 6 of 6 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7, bins = 3 3 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 12.55 | 12.55 | 12.55 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         Press     
         0   169.8092       27.184803      18.222083      45.406886      4.5150458      5.0590453      0              1.7985709      15.812141      409.37725    
       100   126.91932      31.881596      13.619606      45.501202      5.9295605      5.6273017      0              4.4356665      15.889067     -585.5664     
       200   133.48612      31.409162      14.324284      45.733446      4.9800693      5.9598826      0              4.7956984      15.673512      569.01152    
       300   154.12916      29.582217      16.539471      46.121688      4.1226906      5.1138933      0              4.303719       16.041914      889.09466    
       400   131.04051      32.737429      14.061848      46.799277      6.1957879      5.1543274      0              4.9351174      16.452197      1362.0753    
       500   132.7195       33.512462      14.242019      47.754481      5.268319       7.925373       0              3.4436513      16.875119      1376.8035    
       600   170.04808      30.749641      18.247717      48.997358      5.7878133      6.9405882      0              2.9724174      15.048822     -1682.4953    
       700   185.42605      30.405115      19.897914      50.303029      5.3446958      7.3484307      0              2.7012291      15.010759     -1166.3323    
       800   155.49524      34.919018      16.686064      51.605082      5.7726123      7.5082297      0              5.5458245      16.092352      729.22973    
       900   160.68604      35.428999      17.243084      52.672083      6.4201999      9.1782036      0              2.6351596      17.195435     -775.27338    
      1000   171.42848      34.996957      18.395846      53.392803      7.350643       8.3750262      0              2.8806435      16.390644     -1625.6448    
      1100   160.96359      36.455485      17.272868      53.728354      7.0235371      10.040893      0              3.0052696      16.385785     -626.68065    
      1200   170.76879      35.479715      18.325056      53.804771      7.6920651      6.5993704      0              3.5073358      17.680944     -806.0426     
      1300   179.45145      34.008679      19.256785      53.265463      5.3116143      7.387896       0              3.7219401      17.587228     -137.16377    
      1400   138.02102      36.994025      14.81092       51.804945      7.9797273      8.3920118      0              3.6220207      17.000265     -978.89558    
      1500   170.54956      31.259869      18.30153       49.561399      5.6070374      7.6649173      0              1.6415499      16.346364      1232.8611    
      1600   164.5008       29.787794      17.652443      47.440237      4.5605736      6.6535773      0              1.7895367      16.784107      476.05598    
      1700   132.42975      31.93388       14.210925      46.144805      5.1645671      6.8382504      0              2.8034558      17.127607      846.48278    
      1800   131.69446      31.339718      14.132022      45.47174       6.599803       6.8328483      0              1.7746944      16.132372     -286.30113    
      1900   137.67294      30.346401      14.773568      45.119969      5.0911547      6.9977148      0              2.0643987      16.193132      872.65193    
      2000   134.26047      30.594867      14.407378      45.002246      4.4004951      7.2832428      0              2.3015622      16.609567      2080.365     
      2100   144.75169      29.514316      15.533183      45.047499      4.1128177      4.7979131      0              3.5647419      17.038843      872.7189     
      2200   125.97382      31.755809      13.518145      45.273953      6.1887072      4.2339849      0              4.4276514      16.905465      42.105645    
      2300   139.33524      30.660544      14.951948      45.612493      3.7521508      7.5094865      0              3.4410933      15.957814     -950.13961    
      2400   152.67172      29.722749      16.383075      46.105823      4.5394435      4.9307146      0              3.8244256      16.428165     -1450.5083    
      2500   138.8799       31.797434      14.903086      46.70052       7.1211896      5.9607705      0              2.7274565      15.988018     -2035.5028    
      2600   137.32342      32.673971      14.736061      47.410032      6.7753893      6.8004556      0              3.4206898      15.677436     -2314.9057    
      2700   160.74117      30.996715      17.249001      48.245716      7.8448851      5.5565213      0              2.4511549      15.144154     -662.31959    
      2800   162.3796       31.603853      17.424819      49.028671      4.7089129      7.4100779      0              3.7063531      15.778509     -884.44158    
      2900   155.3664       32.967975      16.672239      49.640214      4.4407685      8.4100953      0              3.5519902      16.565121      1519.7035    
      3000   173.15371      31.608835      18.58098       50.189815      5.9986071      4.9637294      0              4.6904158      15.956083     -384.68245    
      3100   175.68046      31.927908      18.852123      50.780031      5.8860584      6.9666434      0              2.9318504      16.143356      1476.8702    
      3200   193.73647      30.509007      20.789698      51.298705      4.279435       7.1766722      0              3.5145562      15.538344     -235.29877    
      3300   197.16954      30.594497      21.158098      51.752596      4.3888259      6.6241577      0              3.4252845      16.156229      1522.9264    
      3400   169.56137      33.842054      18.195488      52.037543      5.924679       9.5737414      0              2.6474156      15.696218      1416.0206    
      3500   154.48101      35.345103      16.577227      51.92233       8.3567885      7.238125       0              4.0704513      15.679738      445.531      
      3600   155.26644      34.508017      16.661512      51.169529      6.4263085      6.7212331      0              4.3398335      17.020642      3451.0896    
      3700   153.84419      33.299628      16.508892      49.808519      7.094913       5.4419369      0              3.2072328      17.555545      2345.5334    
      3800   129.05967      34.498455      13.849285      48.34774       4.5429636      7.0447999      0              5.5645043      17.346187      1679.6031    
      3900   160.71987      29.890931      17.246714      47.137645      5.4786345      5.022352       0              1.5604604      17.829484     -48.392609    
      4000   161.65056      28.778141      17.346586      46.124727      5.1908022      3.6645016      0              2.4684075      17.45443       438.37094    
      4100   142.67968      29.995947      15.310837      45.306784      5.563229       6.0507445      0              2.3344893      16.047484     -2781.2911    
      4200   138.16742      29.89148       14.82663       44.71811       3.5564577      6.9479392      0              3.28916        16.097923     -657.48583    
      4300   125.30598      30.90406       13.446479      44.350539      7.1999142      5.6929255      0              1.8600404      16.15118      -2542.9764    
      4400   125.90763      30.648611      13.511042      44.159653      6.4118684      5.38223        0              2.0580368      16.796476     -1566.1448    
      4500   101.83809      33.254239      10.928161      44.1824        6.3230051      8.2167678      0              2.3463677      16.368099      942.75555    
      4600   128.76011      30.623527      13.81714       44.440667      4.9761021      5.3094212      0              3.7412841      16.59672      -1091.8941    
      4700   129.62695      31.10596       13.910159      45.016119      4.6739955      6.2107707      0              3.7040349      16.517159     -1633.9132    
      4800   149.64727      29.875869      16.058523      45.934393      5.3309487      6.9012568      0              1.2496858      16.393978     -1672.6919    
      4900   152.50487      30.825896      16.36517       47.191065      6.9599007      6.3479151      0              1.2996313      16.218448      343.25746    
      5000   149.91637      32.48627       16.0874        48.57367       5.6727458      8.5486759      0              2.5296531      15.735195     -640.06193    
      5100   142.77076      34.517717      15.32061       49.838327      7.7275757      8.8971888      0              1.759665       16.133287     -1591.6368    
