
reset_timestep 0

fix 1 all nvt temp 150 150 100.0

thermo 100

dump 1 all custom 100 production.xyz id mol type q x y z ix iy iz vx vy vz

dump_modify 1 sort id

restart 1000 production.restart

run 4000000
Generated 6 of 6 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7, bins = 3 3 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 12.56 | 12.56 | 12.56 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         Press     
         0   161.0737       29.308144      17.284684      46.592828      5.9882859      5.4890731      0              1.3802443      16.45054      -590.38219    
       100   133.31793      32.344815      14.306235      46.65105       7.1616881      6.4730412      0              1.6102222      17.099864     -501.30372    
       200   148.73399      30.883174      15.960519      46.843693      5.8976241      4.2108391      0              3.6794315      17.095279      774.25884    
       300   151.82846      30.850257      16.292585      47.142842      7.4427174      4.3819194      0              2.3182166      16.707403     -2011.0143    
       400   154.95604      30.8963        16.628203      47.524503      5.867796       4.7877904      0              3.8279915      16.412722     -940.41644    
       500   173.67178      29.434251      18.636573      48.070824      4.6539366      5.456469       0              1.6727494      17.651095     -134.08276    
       600   162.93524      31.408378      17.484444      48.892822      5.4428041      3.5423773      0              4.1708686      18.252328      953.43297    
       700   173.09314      31.609171      18.57448       50.183651      6.8819856      4.7697323      0              2.5812577      17.376196      516.36718    
       800   186.03738      31.707761      19.963516      51.671277      6.9791339      4.9040067      0              3.0049269      16.819694      2565.436     
       900   173.31496      34.574606      18.598283      53.172889      8.772148       5.90374        0              2.4882822      17.410436      1421.9377    
      1000   184.43473      34.59278       19.791536      54.384316      6.7860508      6.7504882      0              2.5931517      18.463089      2641.7369    
      1100   195.12747      34.105877      20.938965      55.044842      7.6982266      6.6981801      0              3.0905494      16.618921     -1362.5175    
      1200   184.24088      35.2934        19.770735      55.064135      7.6810345      8.5989596      0              2.8252319      16.188174      303.3136     
      1300   187.36947      34.311746      20.106461      54.418207      5.4334338      8.8257978      0              2.6890701      17.363444      712.90602    
      1400   162.0222       35.627082      17.386467      53.013549      10.092775      4.987687       0              3.4305504      17.11607      -1613.6463    
      1500   150.1536       35.202948      16.112857      51.315805      8.0811751      7.7262161      0              2.4396696      16.955887      1502.3035    
      1600   162.73538      32.046661      17.462997      49.509659      4.5697829      8.6945227      0              2.1574848      16.624871      1051.0293    
      1700   163.25418      30.771291      17.518669      48.28996       6.3076837      5.3207882      0              2.4990183      16.643801      837.08775    
      1800   150.39463      31.331528      16.138722      47.47025       7.4102576      5.8898532      0              1.2265598      16.804857      1261.7765    
      1900   168.6898       28.912322      18.101961      47.014284      7.802267       3.5439183      0              1.0287253      16.537412     -513.25617    
      2000   148.35457      30.831996      15.919805      46.7518        6.2334685      6.9484726      0              1.2913918      16.358663     -1213.9293    
      2100   123.19406      33.359019      13.219851      46.578871      7.7025789      8.5493382      0              1.3675864      15.739516     -3254.4042    
      2200   143.4227       31.106808      15.39057       46.497378      7.2955789      6.0773407      0              2.4317311      15.302157     -2508.5375    
      2300   134.08515      32.073147      14.388565      46.461712      5.5144798      7.0503359      0              2.5028928      17.005438      808.00197    
      2400   143.23918      31.096518      15.370876      46.467394      7.2754001      5.8390835      0              1.7572321      16.224802     -1467.8841    
      2500   140.55556      31.424658      15.0829        46.507557      8.3389378      4.4733805      0              3.3107323      15.301607     -1084.9021    
      2600   136.76801      31.942182      14.676461      46.618643      7.2809829      5.3297925      0              3.1007346      16.230672      535.15837    
      2700   131.89894      32.64522       14.153964      46.799185      8.771872       6.8031683      0              1.2759677      15.794212     -3505.6266    
      2800   131.02011      33.023575      14.059658      47.083233      8.4869225      5.3182561      0              3.2637632      15.954633      1086.0886    
      2900   167.90516      29.428942      18.017762      47.446703      6.9777362      5.4993096      0              1.4651095      15.486787     -246.70399    
      3000   170.70422      29.569201      18.318127      47.887328      5.2396889      5.7607748      0              2.9379093      15.630828     -960.31225    
      3100   173.95162      29.694033      18.666602      48.360636      4.8317159      4.4423538      0              3.6237118      16.796252      2112.8177    
      3200   181.88042      29.330619      19.517436      48.848055      6.8093355      4.6883809      0              2.6674999      15.165403     -772.54718    
      3300   168.26206      31.285627      18.05606       49.341687      6.8273496      5.0252473      0              3.2699287      16.163101      3129.1721    
      3400   154.4436       33.164365      16.573213      49.737579      8.4573336      6.2925322      0              3.5580123      14.856487     -624.84517    
      3500   158.79043      32.945235      17.039668      49.984903      7.8907968      5.8411611      0              2.1051826      17.108095      2717.6009    
      3600   156.76252      33.205773      16.822055      50.027828      7.4125271      5.9770076      0              2.6305362      17.185703      444.57619    
      3700   153.54465      33.445336      16.476748      49.922084      6.1996748      7.2800267      0              3.8691783      16.096457      2239.9024    
      3800   183.17791      30.009558      19.656668      49.666226      7.3549183      4.7830871      0              1.3751061      16.496447     -1819.7516    
      3900   167.86467      31.141737      18.013417      49.155154      4.5948993      6.1729109      0              4.005874       16.368053     -278.64905    
      4000   167.87696      30.367444      18.014736      48.38218       5.2198337      5.215569       0              3.4609874      16.471054      1401.4794    
      4100   158.71601      30.360931      17.031682      47.392612      5.5884177      6.3134788      0              2.2851795      16.173854     -962.46726    
      4200   151.78949      29.930475      16.288403      46.218878      5.7199024      3.7896994      0              4.0785903      16.342283      1770.1219    
      4300   144.35187      29.600029      15.490278      45.090307      5.5492577      5.277339       0              1.3874037      17.386028      2039.573     
      4400   126.08683      30.648371      13.530272      44.178643      8.0639588      4.66416        0              2.1403665      15.779886     -347.83133    
      4500   124.68814      30.096932      13.38018       43.477112      6.9361395      3.6525594      0              3.7085956      15.799638      403.01605    
      4600   131.17147      28.997979      14.0759        43.073879      4.6621684      6.5767763      0              1.7088963      16.050138      566.2097     
      4700   132.90778      28.645711      14.262223      42.907933      6.2590636      4.3157179      0              1.6875588      16.38337      -252.37796    
      4800   113.18668      30.828305      12.145968      42.974274      6.0769892      5.690593       0              3.001112       16.059611      938.24646    
      4900   107.40419      31.766099      11.525454      43.291553      4.7829394      8.8612322      0              2.1661526      15.955775      477.29355    
      5000   126.74348      30.360181      13.600737      43.960917      6.7523773      6.900151       0              0.91982359     15.787829     -1387.408     
      5100   138.5647       30.185552      14.869262      45.054814      5.009619       6.3967471      0              1.7214243      17.057762      585.85844    
      5200   127.16564      32.926393      13.646038      46.572431      6.7242717      7.1302755      0              2.7317448      16.340101     -603.47551    
      5300   142.74772      32.763829      15.318138      48.081967      7.2213584      5.6957758      0              2.5608163      17.285879      1547.8421    
      5400   152.252        32.934397      16.338035      49.272432      6.6864483      6.9088297      0              2.86072        16.478399      340.83521    
      5500   140.92586      34.808946      15.122635      49.931581      8.9017222      6.2749822      0              2.7588739      16.873367      279.87544    
      5600   164.03857      32.607036      17.602842      50.209877      8.79721        5.0343968      0              1.8206715      16.954757      2812.3534    
      5700   169.71041      32.049644      18.211482      50.261126      7.1763841      6.4523459      0              2.1453432      16.275571      708.33569    
      5800   161.75991      32.773086      17.35832       50.131406      7.7968033      6.1657951      0              2.4140979      16.39639      -1007.5342    
      5900   184.47974      30.020777      19.796366      49.817144      6.8796868      4.885813       0              1.3216369      16.933641      2204.35      
      6000   170.3211       31.058413      18.277014      49.335427      7.4188654      5.0345261      0              2.9737322      15.63129      -726.29989    
      6100   152.51352      32.387705      16.366098      48.753802      6.4784227      7.5187793      0              2.0532373      16.337265      731.34354    
      6200   171.07959      29.741204      18.358408      48.099612      7.3872062      4.9943268      0              0.86090826     16.498763     -988.78408    
      6300   176.37472      28.483695      18.926623      47.410319      5.3428069      4.5132533      0              2.8414751      15.78616      -239.55495    
      6400   141.38464      31.525706      15.171867      46.697573      5.634153       7.6615501      0              2.8296632      15.400339     -504.37058    
      6500   152.43029      29.641899      16.357167      45.999066      5.9544768      6.1135886      0              1.7680589      15.805774     -0.13746439   
      6600   147.61712      29.469383      15.84067       45.310053      7.1013013      3.9523726      0              2.3558937      16.059816      261.22181    
      6700   112.25275      32.650619      12.045748      44.696367      7.0466468      4.8270082      0              3.8254063      16.951557      1765.894     
      6800   145.97615      28.577839      15.664579      44.242417      5.9158257      3.5827945      0              2.121578       16.95764       2311.8746    
      6900   136.84021      29.223938      14.684208      43.908146      5.2643131      5.0603865      0              2.9204988      15.97874       115.4225     
      7000   124.7437       30.322988      13.386142      43.70913       5.3231064      5.4439738      0              3.6108705      15.945037      393.87377    
      7100   134.04472      29.282807      14.384227      43.667034      6.3122568      3.8669276      0              2.4154869      16.688136      420.63237    
      7200   145.17768      28.269335      15.578895      43.848231      5.9982514      4.9155208      0              1.4158194      15.939744     -1282.8709    
      7300   129.32737      30.512478      13.878012      44.39049       6.9607143      4.8527048      0              2.9862138      15.712845      87.606989    
      7400   139.02313      30.565902      14.918455      45.484357      7.4822514      5.8286541      0              1.8908734      15.364123     -1897.9934    
      7500   143.4896       31.522817      15.397749      46.920566      8.6757108      4.8501879      0              2.1065493      15.890369     -2111.9953    
      7600   150.78846      32.286986      16.180983      48.467969      7.7652724      5.3363018      0              3.4712386      15.714173     -1940.8216    
      7700   201.24565      28.21811       21.595502      49.813612      7.3564009      3.3861473      0              1.9711405      15.504421     -570.84643    
      7800   198.41172      29.36402       21.291395      50.655415      5.5007309      4.7728768      0              3.0408415      16.049571     -221.31161    
      7900   164.52127      33.467587      17.65464       51.122227      7.5256776      6.3439226      0              2.5662564      17.031731      1467.4285    
      8000   160.93234      33.842926      17.269514      51.11244       10.111687      5.6546522      0              2.0543857      16.022201     -1031.1524    
      8100   167.82914      32.710791      18.009604      50.720395      9.2553235      5.5899046      0              2.2196968      15.645866     -252.7754     
      8200   151.94797      33.710466      16.305409      50.015875      8.214181       6.4794214      0              2.7432059      16.273658      1697.4618    
      8300   150.1338       32.929417      16.110733      49.04015       8.1859282      5.5610591      0              3.0017341      16.180696      1369.3256    
      8400   168.74992      29.808654      18.108412      47.917066      6.6861182      4.3465067      0              2.0682893      16.70774       1242.6211    
      8500   170.93913      28.450608      18.343335      46.793943      4.5216133      6.1721323      0              1.8600661      15.896797      23.928522    
      8600   151.23379      29.561804      16.228771      45.790576      5.1534457      5.9450662      0              2.1277016      16.335591     -58.999359    
      8700   153.15724      28.604791      16.435175      45.039966      6.219365       3.5843791      0              2.0397355      16.761311     -429.43981    
      8800   127.36741      30.900859      13.66769       44.568549      8.2889518      5.7197985      0              0.64434928     16.247759     -2742.7352    
      8900   133.88655      29.920263      14.367253      44.287516      9.8811305      2.8856648      0              1.3645411      15.788927     -1631.7932    
      9000   149.98646      28.115757      16.094921      44.210678      6.7637421      4.0758675      0              1.5216987      15.754449     -832.3113     
      9100   125.90103      30.785411      13.510334      44.295745      5.6874198      6.0389488      0              2.1996317      16.859411      514.09575    
      9200   128.24112      30.73011       13.761447      44.491557      4.8679381      6.8006279      0              2.1330618      16.928482      1895.4583    
      9300   158.0258       27.852483      16.957617      44.8101        5.3843676      5.7329194      0              1.9191278      14.816069     -2449.7068    
      9400   160.73022      27.93514       17.247825      45.182965      5.1988363      5.5466787      0              1.3347294      15.854895      1397.248     
      9500   153.47276      29.058568      16.469033      45.527601      5.423091       4.9824993      0              2.1540604      16.498918      2267.7619    
      9600   137.26468      31.091492      14.729758      45.821249      8.5227032      3.4328838      0              3.0770123      16.058893     -979.73967    
      9700   147.54292      30.255638      15.832707      46.088345      6.7239118      4.7077506      0              2.1952573      16.628718      2413.759     
      9800   141.4712       31.129959      15.181156      46.311115      7.3934638      6.0408475      0              1.7955518      15.900095      294.63346    
      9900   163.28418      29.026326      17.521889      46.548214      6.4968503      4.8899512      0              1.456038       16.183486      456.17867    
     10000   167.25684      28.789777      17.948191      46.737969      5.3424972      4.0654333      0              2.87479        16.507057      1950.3093    
     10100   160.7318       29.665677      17.247995      46.913671      4.929694       7.3642495      0              2.1666737      15.20506       187.72908    
     10200   158.52311      29.980159      17.010982      46.991142      5.1984921      7.9286866      0              2.1535383      14.699442     -707.29767    
     10300   152.31618      30.709416      16.344922      47.054338      6.7947699      6.95127        0              1.3837712      15.579605      1806.3298    
     10400   142.36598      31.795799      15.277174      47.072973      8.3475999      5.6141026      0              1.446401       16.387696     -352.69617    
     10500   181.50531      27.634701      19.477183      47.111884      5.9456656      5.1274145      0              1.0482797      15.513341     -445.62221    
     10600   145.45559      31.495605      15.608717      47.104322      6.4190944      7.7998677      0              2.1942708      15.082372     -321.47585    
     10700   137.73714      32.353751      14.780457      47.134208      8.3485894      6.4025786      0              2.353054       15.249529     -2579.4184    
     10800   149.43112      31.09631       16.035329      47.131638      6.2011201      5.479582       0              2.2704104      17.145197      1745.5753    
     10900   172.76287      28.596132      18.539039      47.135171      5.2956858      4.9510218      0              1.8320736      16.517351      252.2799     
     11000   163.26692      29.627227      17.520037      47.147264      7.8407025      4.7343114      0              1.4257278      15.626486     -939.38948    
     11100   137.16584      32.400193      14.719152      47.119345      7.6108363      7.4394555      0              1.6809058      15.668996      2179.481     
     11200   148.54506      31.079656      15.940245      47.019901      7.0876988      3.7411661      0              3.7300065      16.520784      1711.6812    
     11300   139.19073      31.902867      14.936441      46.839308      6.2083753      7.1787223      0              2.6380468      15.877723      191.55275    
     11400   152.88053      30.213154      16.405482      46.618636      4.8476649      7.148217       0              2.0494633      16.167809      1418.6997    
     11500   156.38279      29.589209      16.781306      46.370515      5.0565568      8.1213688      0              1.6521583      14.759125     -917.29719    
     11600   154.14948      29.627146      16.541651      46.168797      6.5857699      4.5710608      0              1.8652154      16.6051        550.51234    
     11700   138.46378      31.084457      14.858432      45.942889      6.6120252      5.0597194      0              1.8946851      17.518028      803.89186    
     11800   121.44505      32.74647       13.032166      45.778636      8.6109941      5.1239848      0              2.6233653      16.388126     -371.41368    
     11900   118.74349      32.89563       12.742265      45.637894      7.1152338      6.9120623      0              3.3335701      15.534764     -977.53726    
     12000   149.4664       29.500951      16.039114      45.540064      7.9294511      3.7787489      0              2.3800009      15.41275      -486.57422    
     12100   133.97248      31.062226      14.376474      45.4387        8.655283       3.6203185      0              3.6581185      15.128505     -4530.0743    
     12200   141.17779      30.233408      15.149671      45.383079      5.7371966      5.1863449      0              3.3382277      15.971639      172.56312    
     12300   144.8793       29.860081      15.546876      45.406957      7.3745979      5.1801691      0              2.1261232      15.179191     -1509.2284    
     12400   151.46289      29.300817      16.253356      45.554173      7.0017838      4.8898892      0              1.67374        15.735404     -946.53816    
     12500   141.59929      30.574653      15.194901      45.769554      6.4577395      4.5893042      0              3.3878718      16.139738      1430.861     
     12600   146.81777      30.371976      15.754892      46.126868      7.8884123      3.0012788      0              2.976628       16.505657     -1020.6665    
     12700   140.45246      31.5425        15.071836      46.614336      8.7891507      5.066215       0              2.0286769      15.658457     -873.87768    
     12800   138.99769      32.367023      14.915725      47.282748      7.4950723      6.9368632      0              1.6828316      16.252256      2395.5102    
     12900   178.72654      28.947886      19.178995      48.126881      7.0276959      3.6142549      0              1.6263901      16.679546      2094.0299    
     13000   164.01806      31.425752      17.60064       49.026393      6.3287467      5.1217694      0              3.0152791      16.959957      616.86951    
     13100   189.29361      29.599082      20.312938      49.91202       7.4532818      4.4820994      0              1.6710337      15.992667      1784.5905    
     13200   173.35705      32.109192      18.602799      50.711991      7.1722516      7.0006859      0              2.9570451      14.979209     -1845.6099    
     13300   192.03209      30.760103      20.606802      51.366905      7.1332847      4.743338       0              1.992675       16.890805      405.60214    
     13400   181.76274      32.234639      19.504807      51.739446      8.2918257      4.9986936      0              2.0024707      16.941649      315.82824    
     13500   161.57988      34.457835      17.339001      51.796837      9.6141106      5.6343299      0              3.2564307      15.952964     -1196.8835    
     13600   183.94431      31.64878       19.738909      51.38769       7.9797146      5.5650549      0              2.4982093      15.605801     -407.77971    
     13700   161.35713      33.092542      17.315099      50.407641      8.6984578      4.7479123      0              3.0111169      16.635055     -1441.0808    
     13800   141.96889      33.647973      15.234562      48.882535      7.0705556      6.4867936      0              2.6334545      17.457169     -700.07732    
     13900   155.96733      30.222707      16.736723      46.95943       6.2953368      6.397882       0              2.2823796      15.247108     -233.78732    
     14000   134.54297      30.914417      14.437693      45.352109      5.7673846      4.9031094      0              4.1981666      16.045756     -1030.7953    
     14100   128.96585      30.488803      13.839217      44.32802       6.3527639      4.2517768      0              2.8167869      17.067476      776.28561    
     14200   131.46321      29.752921      14.107207      43.860128      4.8832706      5.0596508      0              2.3880866      17.421913      1678.7629    
     14300   125.72244      30.189936      13.491169      43.681105      7.3479724      4.2157539      0              3.100168       15.526041     -815.44993    
     14400   141.41346      28.565977      15.17496       43.740937      5.7523832      5.0644948      0              1.8629896      15.886109     -1009.6876    
     14500   141.62671      28.774663      15.197843      43.972506      5.0993609      4.0603792      0              1.9018594      17.713063      1967.7673    
     14600   136.03253      29.776676      14.597537      44.374213      5.8633183      5.4482249      0              1.7179804      16.747153      443.31243    
     14700   132.38343      30.745878      14.205954      44.951832      6.3349396      5.6480881      0              2.6796059      16.083244      195.39165    
     14800   165.2456       27.999362      17.732367      45.731728      6.0355166      3.7412104      0              2.0845807      16.138054     -646.2414     
     14900   138.52716      31.72635       14.865233      46.591583      6.8873313      5.1575078      0              2.4206564      17.260855     -10.034682    
     15000   141.96336      32.248323      15.233969      47.482292      9.4265222      4.3183826      0              2.5789409      15.924477      376.70648    
     15100   148.50275      32.40928       15.935706      48.344986      9.3480169      5.1692667      0              1.9322586      15.959738     -769.02151    
     15200   174.71386      30.263529      18.748398      49.011927      8.7058545      4.1247703      0              1.1388681      16.294036     -139.37017    
     15300   181.9253       30.056588      19.522251      49.57884       6.5377766      4.0340416      0              2.78077        16.704         312.74983    
     15400   153.8983       33.40587       16.514697      49.920567      6.5787747      7.9885365      0              2.7939923      16.044566     -12.799932    
     15500   154.96588      33.329286      16.629259      49.958545      8.1098237      7.8783147      0              2.0401235      15.301024      180.36982    
     15600   192.59905      29.14023       20.667643      49.807873      6.6828015      4.784507       0              2.6818767      14.991044     -1860.0191    
     15700   121.91111      36.386099      13.082179      49.468278      9.7464643      7.827052       0              2.9042708      15.908312     -776.7987     
     15800   138.34629      34.150309      14.845824      48.996133      9.6251366      6.0511112      0              1.9006493      16.573411      629.60033    
     15900   156.71318      31.726779      16.81676       48.543539      8.8903852      5.0178862      0              1.8529724      15.965535     -1582.6243    
     16000   137.93657      33.384948      14.801858      48.186806      8.5278956      6.7770182      0              2.0356536      16.044381     -2387.7164    
     16100   156.91766      31.19163       16.838702      48.030333      5.0181829      7.1007081      0              0.92159005     18.151149      779.40022    
     16200   160.80217      30.727421      17.255546      47.982968      7.2819377      4.0067132      0              2.4679088      16.970862     -1755.4757    
     16300   171.14344      29.617141      18.36526       47.982401      7.4421379      4.4208557      0              1.6798515      16.074296     -1162.8689    
     16400   143.72648      32.574306      15.423168      47.997474      8.8423354      3.9759912      0              3.0589319      16.697047      1741.1238    
     16500   139.2348       33.073062      14.941169      48.014232      8.4114332      6.7911883      0              1.4846496      16.385791     -104.3309     
     16600   151.57248      31.660631      16.265116      47.925747      6.9422104      5.6644347      0              1.8679106      17.186075      3244.8366    
     16700   148.26791      31.873302      15.910505      47.783808      6.9159649      4.8975887      0              3.8261891      16.23356      -749.87875    
     16800   168.72047      29.555335      18.105252      47.660587      6.1110797      4.5367216      0              2.198509       16.709025      199.59896    
     16900   156.00201      30.791274      16.740444      47.531718      6.9174736      5.0492469      0              1.5756901      17.248863      899.85233    
     17000   132.71454      33.158837      14.241486      47.400322      7.2869072      7.258376       0              1.9097919      16.703762      1521.9692    
     17100   169.74166      29.081281      18.214836      47.296117      5.6407478      4.5606002      0              2.154353       16.72558       1065.943     
     17200   152.25531      30.841086      16.33839       47.179476      7.1878748      4.4236252      0              1.996712       17.232874      804.63021    
     17300   147.02319      31.227787      15.776935      47.004723      8.0479124      4.6658111      0              2.7829952      15.731069     -1801.6688    
     17400   159.85005      29.644452      17.153374      46.797826      5.0915522      6.2652722      0              2.0731332      16.214494      329.06886    
     17500   158.10354      29.538267      16.965958      46.504226      7.6906962      3.4312681      0              2.7056663      15.710637     -637.67645    
     17600   134.9529       31.648309      14.481682      46.129991      7.0441775      4.3712991      0              3.1482931      17.084539     -799.77612    
     17700   151.27377      29.505117      16.233061      45.738178      6.1354884      4.765882       0              1.9948972      16.608849     -611.31307    
     17800   132.42185      31.169691      14.210078      45.379768      6.4299596      5.3177757      0              3.3176167      16.104339      303.89889    
     17900   142.81224      29.812331      15.325062      45.137393      4.8784388      5.4661295      0              2.5358131      16.93195       1504.1391    
     18000   146.56228      29.240237      15.727475      44.967713      6.7326715      3.9303576      0              2.2533579      16.323851     -477.53034    
     18100   145.73773      29.236544      15.638993      44.875538      5.6505413      5.7884456      0              1.6877027      16.109855     -1084.3924    
     18200   134.02481      30.507657      14.38209       44.889747      6.524533       5.4021721      0              2.6271753      15.953777      459.21655    
     18300   136.57752      30.429226      14.656019      45.085245      7.0536227      5.5806159      0              2.3184601      15.476527      233.72437    
     18400   129.16963      31.60642       13.861085      45.467505      5.7594686      5.8195915      0              3.0427825      16.984578      314.99774    
     18500   160.01264      28.915234      17.170823      46.086057      5.926296       4.6959623      0              2.5286509      15.764325      730.77966    
     18600   164.01996      29.336091      17.600845      46.936936      5.1928251      6.2109145      0              2.3347111      15.597641      983.7925     
     18700   177.86036      28.753961      19.086046      47.840007      4.2790187      6.4316452      0              1.7644557      16.278841      361.92025    
     18800   160.88711      31.560677      17.264661      48.825337      6.3361265      6.7522133      0              2.0723719      16.399965      389.49722    
     18900   154.86508      33.276896      16.618441      49.895337      7.6931803      7.4742812      0              1.849856       16.259578      1004.8442    
     19000   166.84362      32.933153      17.903849      50.837001      7.477883       6.834992       0              3.7001299      14.920148     -1003.3554    
     19100   170.5017       33.247196      18.296395      51.543591      8.1836328      5.1551333      0              3.2519538      16.656476      854.554      
     19200   156.53277      34.94579       16.797401      51.743191      8.6661355      6.9000343      0              2.7074374      16.672183     -880.24714    
     19300   154.57334      35.087853      16.587136      51.674989      7.6103818      8.3990146      0              3.6157086      15.462748     -1921.7932    
     19400   179.75279      31.896777      19.289122      51.185898      7.2515595      6.1877267      0              2.3334975      16.123993     -1375.2736    
     19500   161.06262      32.873606      17.283495      50.1571        7.145246       5.8513063      0              3.3013249      16.575728     -1644.8236    
     19600   166.92745      30.570991      17.912845      48.483837      7.5272676      3.1584023      0              3.2783866      16.606935     -1445.7637    
     19700   142.44325      31.139523      15.285466      46.424989      6.8611834      6.5295514      0              1.9019         15.846889     -233.42616    
     19800   120.76779      31.994371      12.95949       44.953861      8.0179792      6.4731222      0              1.5284886      15.974781     -1251.1215    
     19900   141.2105       28.903226      15.15318       44.056406      4.5114237      4.7708852      0              3.2535778      16.367339      1918.9789    
     20000   129.86149      29.762764      13.935327      43.698092      3.9513867      7.8038445      0              1.6806014      16.326932      414.84994    
     20100   126.84888      30.100559      13.612047      43.712606      6.5215678      4.9602447      0              3.10946        15.509287     -86.112942    
     20200   142.11532      28.648206      15.250275      43.898481      4.5400952      6.4355984      0              2.2884517      15.384061      790.5687     
     20300   127.15212      30.546477      13.644588      44.191065      5.7143131      3.8816896      0              4.9046294      16.045845      951.04271    
     20400   120.26975      31.698753      12.906046      44.604799      6.9905575      4.9803662      0              3.0435273      16.684302      1326.6147    
     20500   118.83451      32.355593      12.752032      45.107624      8.0729446      3.7690516      0              2.1478578      18.365739      3047.962     
     20600   145.4535       30.2176        15.608493      45.826093      6.3370888      4.8208268      0              3.0174981      16.042186     -345.74592    
