
reset_timestep 0

fix 1 all nvt temp 350 350 100.0

thermo 100

dump 1 all custom 100 production.xyz id type x y z

dump_modify 1 sort id

restart 1000 production.restart

run 4000000
Generated 6 of 6 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 14
  ghost atom cutoff = 14
  binsize = 7, bins = 3 3 3
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/newton
      stencil: half/bin/3d
      bin: standard
Per MPI rank memory allocation (min/avg/max) = 12.55 | 12.55 | 12.55 Mbytes
   Step          Temp          PotEng         KinEng         TotEng         E_bond        E_angle        E_dihed        E_impro         E_vdwl         Press     
         0   317.08395      43.892192      34.026013      77.918205      10.785384      13.416792      0              2.4088899      17.281126      1744.6564    
       100   326.50259      43.268321      35.036719      78.30504       12.178778      7.7424422      0              5.2569598      18.09014       2386.2718    
       200   328.1498       44.022683      35.213479      79.236162      8.0934756      12.501892      0              6.2462145      17.1811        1972.0733    
       300   281.67817      50.492946      30.226649      80.719595      10.362852      15.105173      0              6.4136017      18.611319      3289.416     
       400   322.12671      48.201837      34.567148      82.768984      8.8539047      15.342018      0              7.0675669      16.938348      2753.176     
       500   354.61122      47.55327       38.053033      85.606303      10.878737      14.291089      0              5.7961299      16.587314      879.62602    
       600   380.84283      47.793476      40.867924      88.661401      11.750865      14.649782      0              4.1739771      17.218852      1017.9357    
       700   399.18566      48.676549      42.836278      91.512827      15.996787      14.832432      0              2.9823452      14.864985     -3401.4217    
       800   461.41123      44.084746      49.513652      93.598398      10.484328      7.867115       0              9.5368622      16.196441      183.12677    
       900   411.66409      50.466424      44.175328      94.641752      13.276688      13.439644      0              9.1800111      14.570081     -2856.1662    
      1000   374.0972       54.51499       40.144056      94.659046      15.850159      16.157577      0              5.9026807      16.604573     -2452.1574    
      1100   365.12579      54.875423      39.181343      94.056766      17.066942      16.584918      0              3.449676       17.773888     -425.45608    
      1200   397.0635       50.740866      42.608552      93.349417      11.096878      15.248218      0              4.6566933      19.739076     -1488.8595    
      1300   352.28333      54.977319      37.803229      92.780548      12.832177      15.091125      0              8.7362725      18.317745      163.02682    
      1400   418.09359      47.185161      44.865273      92.050433      10.802562      10.352226      0              6.5019162      19.528457      1643.6267    
      1500   358.25385      52.776528      38.44392       91.220447      10.896349      17.707272      0              5.6447295      18.528177     -300.84113    
      1600   323.40461      55.691848      34.704278      90.396126      15.359833      17.164526      0              4.5971558      18.570334      1662.2533    
      1700   323.59454      54.997475      34.724659      89.722135      18.668253      13.229782      0              4.421083       18.678357     -839.5968     
      1800   318.84011      55.114499      34.214464      89.328963      22.257785      11.100563      0              4.6082607      17.14789      -293.58673    
      1900   409.68058      45.054978      43.96248       89.017458      12.643555      11.674513      0              2.350981       18.385928     -124.4585     
      2000   305.28691      56.020589      32.760083      88.780672      16.829836      15.61716       0              6.1415587      17.432035     -4157.3574    
      2100   315.15126      54.802241      33.818617      88.620858      16.289355      16.632281      0              5.0576667      16.822938     -1002.167     
      2200   317.436        54.413155      34.063791      88.476946      12.016853      18.358488      0              6.3742357      17.663578     -131.79299    
      2300   375.01655      48.121288      40.242711      88.363999      14.088893      14.164991      0              3.6744905      16.192914     -2274.3266    
      2400   342.28722      51.573823      36.730554      88.304377      15.160633      12.677533      0              7.1645723      16.571085      3495.2062    
      2500   311.97609      54.860128      33.477893      88.338022      19.187123      12.466294      0              8.7614712      14.44524      -640.45959    
      2600   339.84529      51.954319      36.468513      88.422831      15.835475      15.059514      0              6.218246       14.841084     -1389.417     
      2700   392.48939      46.472004      42.117707      88.589711      14.461108      11.807416      0              4.6985248      15.504955      1510.5022    
      2800   399.20565      45.898824      42.838424      88.737247      11.537642      14.622259      0              5.2369656      14.501957     -187.43908    
      2900   373.59332      48.578237      40.089986      88.668223      16.402072      11.553427      0              3.6532952      16.969444      2259.0555    
      3000   347.47544      51.141327      37.287298      88.428625      11.737493      17.794025      0              6.2369946      15.372814     -1909.815     
