atom_i,atom_j,elem_i,elem_j,distance_A,bond_type
1,2,C,C,1.3984773525005483,AROMATIC
2,3,C,C,1.4028712821989577,AROMATIC
3,4,C,C,1.4032656604234441,AROMATIC
4,5,C,C,1.3991279361710731,AROMATIC
5,6,C,C,1.40326660343904,AROMATIC
6,7,C,C,1.4028720127038894,AROMATIC
7,8,C,C,1.3984771722871085,AROMATIC
8,9,C,C,1.3984775562271623,AROMATIC
9,10,C,C,1.4028724435319646,AROMATIC
10,11,C,C,1.4032654578847443,AROMATIC
11,12,C,C,1.3991316243401497,AROMATIC
12,13,C,C,1.403265164886449,AROMATIC
13,14,C,C,1.4028715374939091,AROMATIC
13,15,C,C,1.4131479026473597,AROMATIC
15,16,C,C,1.4104854542818146,AROMATIC
14,1,C,C,1.3984769236774994,AROMATIC
15,3,C,C,1.413147976946111,AROMATIC
16,6,C,C,1.4131484793394056,AROMATIC
16,10,C,C,1.4131482201050616,AROMATIC
1,17,C,H,1.0823873182813473,SINGLE
2,18,C,H,1.0834924052456505,SINGLE
4,19,C,H,1.0835197231719733,SINGLE
5,20,C,H,1.0835194601766556,SINGLE
7,21,C,H,1.0834921459957938,SINGLE
8,22,C,H,1.0823875487806,SINGLE
9,23,C,H,1.0834934429283007,SINGLE
11,24,C,H,1.0835202244864897,SINGLE
12,25,C,H,1.0835204059784445,SINGLE
14,26,C,H,1.0834925435339775,SINGLE
