type,id_i,id_j,center_or_radial_distance_A,min_atom_atom_distance_A
pyrene_pyrene,1,2,26.893670507350343,20.690971771942596
pyrene_pyrene,1,3,42.48779235189885,38.44234326677645
pyrene_pyrene,1,4,46.45388468413394,39.77738466182297
pyrene_pyrene,2,3,26.893670507350343,20.69097177194259
pyrene_pyrene,2,4,42.48779235189883,38.44234326677645
pyrene_pyrene,3,4,26.893670507350336,20.69097177194259
pyrene_hBN,1,0,4.499999999999998,4.418318119147617
pyrene_hBN,2,0,4.499999999999998,4.444541971413037
pyrene_hBN,3,0,4.499999999999998,4.430226259473087
pyrene_hBN,4,0,4.499999999999998,4.399706528800145
