chromophore_id,local_atom_index,element,global_atom_index
1,1,C,1681
1,2,C,1682
1,3,C,1683
1,4,C,1684
1,5,C,1685
1,6,C,1686
1,7,C,1687
1,8,C,1688
1,9,C,1689
1,10,C,1690
1,11,C,1691
1,12,C,1692
1,13,C,1693
1,14,C,1694
1,15,C,1695
1,16,C,1696
1,17,H,1697
1,18,H,1698
1,19,H,1699
1,20,H,1700
1,21,H,1701
1,22,H,1702
1,23,H,1703
1,24,H,1704
1,25,H,1705
1,26,H,1706
2,1,C,1707
2,2,C,1708
2,3,C,1709
2,4,C,1710
2,5,C,1711
2,6,C,1712
2,7,C,1713
2,8,C,1714
2,9,C,1715
2,10,C,1716
2,11,C,1717
2,12,C,1718
2,13,C,1719
2,14,C,1720
2,15,C,1721
2,16,C,1722
2,17,H,1723
2,18,H,1724
2,19,H,1725
2,20,H,1726
2,21,H,1727
2,22,H,1728
2,23,H,1729
2,24,H,1730
2,25,H,1731
2,26,H,1732
3,1,C,1733
3,2,C,1734
3,3,C,1735
3,4,C,1736
3,5,C,1737
3,6,C,1738
3,7,C,1739
3,8,C,1740
3,9,C,1741
3,10,C,1742
3,11,C,1743
3,12,C,1744
3,13,C,1745
3,14,C,1746
3,15,C,1747
3,16,C,1748
3,17,H,1749
3,18,H,1750
3,19,H,1751
3,20,H,1752
3,21,H,1753
3,22,H,1754
3,23,H,1755
3,24,H,1756
3,25,H,1757
3,26,H,1758
4,1,C,1759
4,2,C,1760
4,3,C,1761
4,4,C,1762
4,5,C,1763
4,6,C,1764
4,7,C,1765
4,8,C,1766
4,9,C,1767
4,10,C,1768
4,11,C,1769
4,12,C,1770
4,13,C,1771
4,14,C,1772
4,15,C,1773
4,16,C,1774
4,17,H,1775
4,18,H,1776
4,19,H,1777
4,20,H,1778
4,21,H,1779
4,22,H,1780
4,23,H,1781
4,24,H,1782
4,25,H,1783
4,26,H,1784
