cluster_atom_index,original_atom_id,original_molecule_id,atom_type,element,x_A,y_A,z_A
1,9793,0,1,B,70.0,0.0,15.2542
2,10081,0,2,N,70.0,0.0,18.6441
3,10082,0,1,B,69.7336,6.1009,18.6441
4,10152,0,1,B,69.7336,-6.1009,18.6441
5,10369,0,1,B,70.0,0.0,22.0339
6,10370,0,2,N,69.7336,6.1009,22.0339
7,10440,0,2,N,69.7336,-6.1009,22.0339
8,10657,0,2,N,70.0,0.0,25.4237
9,20245,1989,3,O,61.6013,-1.12919,19.4573
10,20246,1989,4,H,61.9438,-0.481999,20.0738
11,20247,1989,4,H,61.3388,-1.86811,20.0062
12,32218,5980,3,O,60.9499,1.4307,22.774
13,32219,5980,4,H,60.8051,2.30528,23.135
14,32220,5980,4,H,61.8001,1.16439,23.1239
15,49492,11738,3,O,63.4178,0.756278,23.8577
16,49493,11738,4,H,63.5159,1.12126,24.7371
17,49494,11738,4,H,64.2854,0.414557,23.6415
18,107297,31009,5,X,66.0,0.0,19.0
19,107298,31009,6,X,66.0,0.0,21.0
