cluster_atom_index,original_atom_id,original_molecule_id,atom_type,element,x_A,y_A,z_A
1,9793,0,1,B,70.0,0.0,15.2542
2,10081,0,2,N,70.0,0.0,18.6441
3,10082,0,1,B,69.7336,6.1009,18.6441
4,10152,0,1,B,69.7336,-6.1009,18.6441
5,10369,0,1,B,70.0,0.0,22.0339
6,10370,0,2,N,69.7336,6.1009,22.0339
7,10440,0,2,N,69.7336,-6.1009,22.0339
8,10657,0,2,N,70.0,0.0,25.4237
9,20245,1989,3,O,60.7524,-1.39875,21.3172
10,20246,1989,4,H,61.0046,-2.32212,21.3233
11,20247,1989,4,H,60.6125,-1.18202,22.2389
12,32218,5980,3,O,62.0368,1.53331,24.5611
13,32219,5980,4,H,61.7029,2.13154,25.2296
14,32220,5980,4,H,62.9021,1.87827,24.3409
15,107297,31009,5,X,66.0,0.0,19.0
16,107298,31009,6,X,66.0,0.0,21.0
