cluster_atom_index,original_atom_id,original_molecule_id,atom_type,element,x_A,y_A,z_A
1,6349,0,1,B,35.0,60.6218,-25.4237
2,6636,0,1,B,40.1504,57.3406,-22.0339
3,6637,0,2,N,35.0,60.6218,-22.0339
4,6638,0,1,B,29.5833,63.4415,-22.0339
5,6924,0,2,N,40.1504,57.3406,-18.6441
6,6925,0,1,B,35.0,60.6218,-18.6441
7,6926,0,2,N,29.5833,63.4415,-18.6441
8,7213,0,2,N,35.0,60.6218,-15.2542
9,41572,9098,3,O,32.2734,61.3913,-18.2118
10,41573,9098,4,H,31.7189,62.1224,-18.4843
11,41574,9098,4,H,32.5671,61.6277,-17.332
12,79831,21851,3,O,30.1434,52.4056,-22.5709
13,79832,21851,4,H,30.3447,52.3684,-23.506
14,79833,21851,4,H,30.7534,53.0543,-22.2197
15,86605,24109,3,O,29.7759,61.0407,-24.0612
16,86606,24109,4,H,29.5089,61.8406,-24.5141
17,86607,24109,4,H,30.612,61.2643,-23.6522
18,107287,31004,5,X,33.0,57.1577,-21.0
19,107288,31004,6,X,33.0,57.1577,-19.0
