cluster_atom_index,original_atom_id,original_molecule_id,atom_type,element,x_A,y_A,z_A
1,6397,0,1,B,35.0,-60.6218,-25.4237
2,6684,0,1,B,29.5833,-63.4415,-22.0339
3,6685,0,2,N,35.0,-60.6218,-22.0339
4,6686,0,1,B,40.1504,-57.3406,-22.0339
5,6972,0,2,N,29.5833,-63.4415,-18.6441
6,6973,0,1,B,35.0,-60.6218,-18.6441
7,6974,0,2,N,40.1504,-57.3406,-18.6441
8,7261,0,2,N,35.0,-60.6218,-15.2542
9,38398,8040,3,O,37.3937,-59.0174,-22.7323
10,38399,8040,4,H,37.7268,-59.2284,-23.6045
11,38400,8040,4,H,36.6926,-59.6519,-22.5833
12,107291,31006,5,X,33.0,-57.1577,-21.0
13,107292,31006,6,X,33.0,-57.1577,-19.0
