cluster_atom_index,original_atom_id,original_molecule_id,atom_type,element,x_A,y_A,z_A
1,8688,0,2,N,-40.1504,-57.3406,1.69491
2,8689,0,1,B,-35.0,-60.6218,1.69491
3,8690,0,2,N,-29.5833,-63.4415,1.69491
4,8976,0,1,B,-40.1504,-57.3406,5.08475
5,8977,0,2,N,-35.0,-60.6218,5.08475
6,8978,0,1,B,-29.5833,-63.4415,5.08475
7,9264,0,2,N,-40.1504,-57.3406,8.47458
8,9265,0,1,B,-35.0,-60.6218,8.47458
9,9266,0,2,N,-29.5833,-63.4415,8.47458
10,9552,0,1,B,-40.1504,-57.3406,11.8644
11,9553,0,2,N,-35.0,-60.6218,11.8644
12,9554,0,1,B,-29.5833,-63.4415,11.8644
13,9840,0,2,N,-40.1504,-57.3406,15.2542
14,9841,0,1,B,-35.0,-60.6218,15.2542
15,9842,0,2,N,-29.5833,-63.4415,15.2542
16,10128,0,1,B,-40.1504,-57.3406,18.6441
17,10129,0,2,N,-35.0,-60.6218,18.6441
18,10130,0,1,B,-29.5833,-63.4415,18.6441
19,10416,0,2,N,-40.1504,-57.3406,22.0339
20,10417,0,1,B,-35.0,-60.6218,22.0339
21,10418,0,2,N,-29.5833,-63.4415,22.0339
22,10704,0,1,B,-40.1504,-57.3406,25.4237
23,10705,0,2,N,-35.0,-60.6218,25.4237
24,10706,0,1,B,-29.5833,-63.4415,25.4237
25,10992,0,2,N,-40.1504,-57.3406,28.8136
26,10993,0,1,B,-35.0,-60.6218,28.8136
27,10994,0,2,N,-29.5833,-63.4415,28.8136
28,11280,0,1,B,-40.1504,-57.3406,32.2034
29,11281,0,2,N,-35.0,-60.6218,32.2034
30,11282,0,1,B,-29.5833,-63.4415,32.2034
31,11568,0,2,N,-40.1504,-57.3406,35.5932
32,11569,0,1,B,-35.0,-60.6218,35.5932
33,11570,0,2,N,-29.5833,-63.4415,35.5932
34,107295,31008,5,X,-33.0,-57.1577,19.0
35,107296,31008,6,X,-33.0,-57.1577,21.0
